Pudel1 159   3   1   2   4  22   1   1   1   2 LEHRAMTGHR   1   1   0   0   5   0
Pudel1 159   3   1   2   4  22   1   1   1   2 LEHRAMTGHR   1   2   0   0   2   0
Pudel1 159   3   1   2   4  22   1   1   1   2 LEHRAMTGHR   1   3   0   0   4   0
Pudel1 159   3   1   2   4  22   1   1   1   2 LEHRAMTGHR   1   4   0   0   5   0
Pudel1 159   3   1   2   4  22   1   1   1   2 LEHRAMTGHR   1   5   0   0   6   0
Pudel1 159   3   1   2   4  22   1   1   1   2 LEHRAMTGHR   1   6   0   0   1   0
Pudel1 159   3   1   2   4  22   1   1   1   2 LEHRAMTGHR   1   7   0   0   5   0
Pudel1 159   3   1   2   4  22   1   1   1   2 LEHRAMTGHR   1   8   0   0   3   0
Pudel1 159   3   1   2   4  22   1   1   1   2 LEHRAMTGHR   1   9   0   0   4   0
Pudel1 159   3   1   2   4  22   1   1   1   2 LEHRAMTGHR   1  10   0   0   2   0
Pudel1 159   3   1   2   4  22   1   1   1   2 LEHRAMTGHR   1  11   0   0   3   0
Pudel1 159   3   1   2   4  22   1   1   1   2 LEHRAMTGHR   1  12   0   0   5   0
Pudel1 159   3   1   2   4  22   1   1   1   2 LEHRAMTGHR   1  13   0   0   2   0
Pudel1 159   3   1   2   4  22   1   1   1   2 LEHRAMTGHR   1  14   0   0   6   0
Pudel1 159   3   1   2   4  22   1   1   1   2 LEHRAMTGHR   1  15   0   0   1   0
Pudel1 159   3   1   2   4  22   1   1   1   2 LEHRAMTGHR   1  16   0   0   4   0
Pudel1 159   3   1   2   4  22   1   1   1   2 LEHRAMTGHR   1  17   0   0   5   0
Pudel1 159   3   1   2   4  22   1   1   1   2 LEHRAMTGHR   1  18   0   0   2   0
Pudel1 159   3   1   2   4  22   1   1   1   2 LEHRAMTGHR   1  19   0   0   1   0
Pudel1 159   3   1   2   4  22   1   1   1   2 LEHRAMTGHR   1  20   0   0   4   0
Pudel1 159   3   1   2   4  22   1   1   1   2 LEHRAMTGHR   1  21   0   0   3   0
Pudel1 159   3   1   2   4  22   1   1   1   2 LEHRAMTGHR   1  22   0   0   2   0
Pudel1 159   3   1   2   4  22   1   1   1   2 LEHRAMTGHR   1  23   0   0   6   0
Pudel1 159   3   1   2   4  22   1   1   1   2 LEHRAMTGHR   1  24   0   0   4   0
Pudel1 159   3   1   2   4  22   1   1   1   2 LEHRAMTGHR   1  25   0   0   5   0
Pudel1 159   3   1   2   4  22   1   1   1   2 LEHRAMTGHR   1  26   0   0   6   0
Pudel1 159   3   1   2   4  22   1   1   1   2 LEHRAMTGHR   1  27   0   0   1   0
Pudel1 159   3   1   2   4  22   1   1   1   2 LEHRAMTGHR   1  28   0   0   5   0
Pudel1 159   3   1   2   4  22   1   1   1   2 LEHRAMTGHR   1  29   0   0   2   0
Pudel1 159   3   1   2   4  22   1   1   1   2 LEHRAMTGHR   1  30   0   0   3   0
Pudel1 159   3   1   2   4  22   1   1   1   2 LEHRAMTGHR   1  31   0   0   4   0
Pudel1 159   3   1   2   4  22   1   1   1   2 LEHRAMTGHR   1  32   0   0   6   0
Pudel1 159   3   1   2   4  22   1   1   1   2 LEHRAMTGHR   1  33   0   0   3   0
Pudel1 159   3   1   2   4  22   1   1   1   2 LEHRAMTGHR   1  34   0   0   2   0
Pudel1 159   3   1   2   4  22   1   1   1   2 LEHRAMTGHR   1  35   0   0   1   0
Pudel1 159   3   1   2   4  22   1   1   1   2 LEHRAMTGHR   1  36   0   0   5   0
Pudel1 159   3   1   2   4  22   1   1   1   2 LEHRAMTGHR   1  37   0   0   4   0
