phase,subject_nr,block,trial,cond_order,repetition,valence,stim1,stim2,expectancy,mensch_rating,tier_rating,gegenstand_rating,leertaste
trials,126,1,1,1,1,negative,24.png,3300.JPG,0,None,None,None,None
trials,126,1,2,1,NA,NA,empty.png,empty.png,0,None,None,None,space
trials,126,1,3,1,1,positive,23.png,1721.JPG,0,None,None,None,None
trials,126,1,4,1,1,neutral,21.png,7009.JPG,0,None,None,None,space
trials,126,1,5,1,1,neutral,5.png,7025.JPG,0,None,None,None,space
trials,126,1,6,1,2,negative,24.png,3300.JPG,0,None,None,None,space
trials,126,1,7,1,1,neutral,9.png,7006.JPG,0,None,None,None,space
trials,126,1,8,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,126,1,9,1,NA,NA,19.png,empty.png,0,None,None,None,None
trials,126,1,10,1,2,neutral,21.png,7009.JPG,0,None,None,None,space
trials,126,1,11,1,NA,NA,2520.JPG,empty.png,0,None,None,None,None
trials,126,1,12,1,NA,NA,1275.JPG,9561.JPG,0,None,None,None,space
trials,126,1,13,1,2,neutral,9.png,7006.JPG,0,None,None,None,space
trials,126,1,14,1,1,positive,20.png,1500.JPG,0,None,None,None,None
trials,126,1,15,1,NA,NA,1945.JPG,empty.png,0,None,None,None,space
trials,126,1,16,1,NA,NA,2510.JPG,2310.JPG,0,None,None,None,None
trials,126,1,17,1,1,positive,18.png,1610.JPG,0,None,None,None,None
trials,126,1,18,1,1,positive,17.png,1620.JPG,0,None,None,None,space
trials,126,1,19,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,126,1,20,1,1,negative,10.png,2455.JPG,0,None,None,None,space
trials,126,1,21,1,1,neutral,1.png,7004.JPG,0,None,None,None,space
trials,126,1,22,1,1,neutral,12.png,7175.JPG,0,None,None,None,space
trials,126,1,23,1,1,positive,8.png,1460.JPG,0,None,None,None,space
trials,126,1,24,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,126,1,25,1,NA,NA,19.png,empty.png,0,None,None,None,space
trials,126,1,26,1,2,positive,8.png,1460.JPG,0,None,None,None,space
trials,126,1,27,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,126,1,28,1,1,positive,3.png,1440.JPG,0,None,None,None,space
trials,126,1,29,1,2,positive,17.png,1620.JPG,0,None,None,None,space
trials,126,1,30,1,1,negative,14.png,9331.JPG,0,None,None,None,space
trials,126,1,31,1,2,neutral,5.png,7025.JPG,0,None,None,None,space
trials,126,1,32,1,3,positive,17.png,1620.JPG,0,None,None,None,space
trials,126,1,33,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,126,1,34,1,NA,NA,8500.JPG,7060.JPG,0,None,None,None,space
trials,126,1,35,1,1,negative,4.png,2110.JPG,0,None,None,None,space
trials,126,1,36,1,2,neutral,12.png,7175.JPG,0,None,None,None,return
trials,126,1,37,1,2,negative,14.png,9331.JPG,0,None,None,None,return
trials,126,1,38,1,3,neutral,9.png,7006.JPG,0,None,None,None,return
trials,126,1,39,1,3,positive,8.png,1460.JPG,0,None,None,None,return
trials,126,1,40,1,NA,NA,6.png,27.png,0,None,None,None,return
trials,126,1,41,1,1,negative,26.png,2276.JPG,0,None,None,None,return
trials,126,1,42,1,NA,NA,6.png,27.png,0,None,None,None,return
trials,126,1,43,1,3,neutral,21.png,7009.JPG,0,None,None,None,return
trials,126,1,44,1,NA,NA,8500.JPG,7060.JPG,0,None,None,None,None
trials,126,1,45,1,NA,NA,empty.png,22.png,0,None,None,None,return
trials,126,1,46,1,1,negative,7.png,9041.JPG,0,None,None,None,space
trials,126,1,47,1,2,positive,3.png,1440.JPG,0,None,None,None,space
trials,126,1,48,1,2,negative,10.png,2455.JPG,0,None,None,None,space
trials,126,1,49,1,NA,NA,2357.JPG,1670.JPG,0,None,None,None,None
trials,126,1,50,1,NA,NA,25.png,13.png,0,None,None,None,space
trials,126,1,51,1,2,positive,18.png,1610.JPG,0,None,None,None,space
trials,126,1,52,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,126,1,53,1,NA,NA,25.png,13.png,0,None,None,None,space
trials,126,1,54,1,NA,NA,2357.JPG,1670.JPG,0,None,None,None,None
trials,126,1,55,1,NA,NA,22.png,empty.png,0,None,None,None,space
trials,126,1,56,1,NA,NA,1390.JPG,empty.png,0,None,None,None,None
trials,126,1,57,1,1,neutral,11.png,7705.JPG,0,None,None,None,space
trials,126,1,58,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,126,1,59,1,3,neutral,12.png,7175.JPG,0,None,None,None,space
trials,126,1,60,1,2,negative,4.png,2110.JPG,0,None,None,None,space
trials,126,1,61,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,126,1,62,1,NA,NA,empty.png,19.png,0,None,None,None,space
trials,126,1,63,1,3,positive,3.png,1440.JPG,0,None,None,None,space
trials,126,1,64,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,126,1,65,1,2,neutral,11.png,7705.JPG,0,None,None,None,space
trials,126,1,66,1,3,negative,14.png,9331.JPG,0,None,None,None,space
trials,126,1,67,1,NA,NA,16.png,15.png,0,None,None,None,space
trials,126,1,68,1,NA,NA,empty.png,2520.JPG,0,None,None,None,None
trials,126,1,69,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,126,1,70,1,NA,NA,8330.JPG,empty.png,0,None,None,None,None
trials,126,1,71,1,NA,NA,1275.JPG,9561.JPG,0,None,None,None,space
trials,126,1,72,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,126,1,73,1,3,neutral,11.png,7705.JPG,0,None,None,None,space
trials,126,1,74,1,4,positive,3.png,1440.JPG,1,8,8,6,None
trials,126,1,75,1,3,positive,18.png,1610.JPG,0,None,None,None,return
trials,126,1,76,1,2,positive,20.png,1500.JPG,0,None,None,None,return
trials,126,1,77,1,NA,NA,16.png,15.png,0,None,None,None,return
trials,126,1,78,1,3,neutral,5.png,7025.JPG,0,None,None,None,return
trials,126,1,79,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,126,1,80,1,2,negative,26.png,2276.JPG,0,None,None,None,return
trials,126,1,81,1,2,positive,23.png,1721.JPG,0,None,None,None,return
trials,126,1,82,1,3,negative,10.png,2455.JPG,0,None,None,None,return
trials,126,1,83,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,126,1,84,1,2,neutral,1.png,7004.JPG,0,None,None,None,return
trials,126,1,85,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,126,1,86,1,NA,NA,empty.png,2.png,0,None,None,None,return
trials,126,1,87,1,NA,NA,6.png,27.png,0,None,None,None,return
trials,126,1,88,1,3,neutral,1.png,7004.JPG,0,None,None,None,return
trials,126,1,89,1,3,positive,20.png,1500.JPG,0,None,None,None,return
trials,126,1,90,1,NA,NA,1230.JPG,2304.JPG,0,None,None,None,None
trials,126,1,91,1,NA,NA,2510.JPG,2310.JPG,0,None,None,None,None
trials,126,1,92,1,3,negative,4.png,2110.JPG,0,None,None,None,return
trials,126,1,93,1,NA,NA,empty.png,22.png,0,None,None,None,space
trials,126,1,94,1,4,positive,20.png,1500.JPG,1,0,2,6,None
trials,126,1,95,1,NA,NA,25.png,13.png,0,None,None,None,return
trials,126,1,96,1,4,neutral,1.png,7004.JPG,1,0,4,5,None
trials,126,1,97,1,NA,NA,8330.JPG,empty.png,0,None,None,None,None
trials,126,1,98,1,NA,NA,empty.png,1945.JPG,0,None,None,None,None
trials,126,1,99,1,4,negative,10.png,2455.JPG,1,3,4,6,None
trials,126,1,100,1,2,negative,7.png,9041.JPG,0,None,None,None,None
trials,126,1,101,1,4,neutral,11.png,7705.JPG,1,0,0,0,None
trials,126,1,102,1,3,negative,24.png,3300.JPG,0,None,None,None,return
trials,126,1,103,1,NA,NA,1390.JPG,empty.png,0,None,None,None,None
trials,126,1,104,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,126,1,105,1,3,negative,26.png,2276.JPG,0,None,None,None,space
trials,126,1,106,1,NA,NA,1230.JPG,2304.JPG,0,None,None,None,None
trials,126,1,107,1,4,negative,24.png,3300.JPG,1,3,3,6,None
trials,126,1,108,1,NA,NA,16.png,15.png,0,None,None,None,return
trials,126,1,109,1,3,positive,23.png,1721.JPG,0,None,None,None,return
trials,126,1,110,1,NA,NA,empty.png,2.png,0,None,None,None,return
trials,126,1,111,1,3,negative,7.png,9041.JPG,0,None,None,None,return
trials,126,1,112,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,126,1,113,1,NA,NA,2.png,empty.png,0,None,None,None,None
trials,126,1,114,1,NA,NA,empty.png,empty.png,0,None,None,None,return
trials,126,2,1,1,5,neutral,1.png,7004.JPG,0,None,None,None,None
trials,126,2,2,1,4,negative,4.png,2110.JPG,0,None,None,None,None
trials,126,2,3,1,4,neutral,12.png,7175.JPG,0,None,None,None,None
trials,126,2,4,1,5,negative,10.png,2455.JPG,0,None,None,None,None
trials,126,2,5,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,126,2,6,1,6,neutral,1.png,7004.JPG,0,None,None,None,None
trials,126,2,7,1,NA,NA,empty.png,22.png,0,None,None,None,space
trials,126,2,8,1,NA,NA,2357.JPG,1670.JPG,0,None,None,None,None
trials,126,2,9,1,4,positive,17.png,1620.JPG,0,None,None,None,None
trials,126,2,10,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,126,2,11,1,4,positive,18.png,1610.JPG,0,None,None,None,None
trials,126,2,12,1,NA,NA,empty.png,empty.png,0,None,None,None,None
