ParticipantNumber	Length	US	CS	Answer	CorrectVariable	computerName	timeStamp
5	175	USneu367.wav	MotivationCS21.png	MotivationCS21.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	230	USneg625.wav	19.png	19.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	175	USneu171.wav	MotivationCS01.png	MotivationCS21.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	171	USpos809.wav	06.png	06.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	230	USpos815.wav	23.png	23.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	171	USpos811.wav	17.png	18.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	171	USpos811.wav	06.png	18.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	230	USneg501.wav	07.png	07.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	230	USpos817.wav	23.png	23.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	171	USneg719.wav	39.png	31.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	171	USneg711.wav	39.png	39.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	230	USpos810.wav	31.png	31.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	175	USneu722.wav	MotivationCS21.png	MotivationCS21.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	171	USneg501.wav	18.png	06.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	175	USneu365.wav	MotivationCS21.png	MotivationCS21.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	230	USpos172.wav	31.png	31.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	171	USneg624.wav	39.png	06.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	171	USpos172.wav	06.png	31.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	230	USneg278.wav	19.png	19.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	171	USneg285.wav	39.png	07.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	175	USneu722.wav	MotivationCS01.png	MotivationCS01.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	230	USpos172.wav	23.png	23.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	175	USneu206.wav	MotivationCS01.png	MotivationCS01.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	230	USpos809.wav	31.png	31.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	175	USneu368.wav	MotivationCS21.png	MotivationCS01.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	171	USpos816.wav	17.png	06.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	230	USneg712.wav	07.png	07.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	171	USneg279.wav	18.png	07.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	171	USpos809.wav	17.png	31.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	171	USpos815.wav	17.png	39.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	230	USpos110.wav	31.png	31.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	230	USpos809.wav	23.png	23.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	230	USneg625.wav	07.png	07.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	175	USneu270.wav	MotivationCS21.png	MotivationCS01.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	175	USneu367.wav	MotivationCS01.png	MotivationCS01.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	230	USneg296.wav	19.png	19.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	175	USneu270.wav	MotivationCS01.png	MotivationCS01.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	171	USneg501.wav	39.png	39.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	171	USneg719.wav	18.png	17.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	230	USneg279.wav	19.png	19.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	175	USneu375.wav	MotivationCS21.png	17.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	230	USpos817.wav	31.png	31.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	171	USneg278.wav	39.png	07.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	171	USpos725.wav	06.png	17.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	171	USneg278.wav	18.png	07.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	171	USpos810.wav	06.png	18.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	175	USneu221.wav	MotivationCS01.png	MotivationCS01.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	230	USpos820.wav	23.png	23.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	171	USneg279.wav	39.png	07.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	230	USpos816.wav	23.png	23.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	230	USpos725.wav	31.png	31.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	175	USneu375.wav	MotivationCS01.png	17.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	175	USneu221.wav	MotivationCS21.png	MotivationCS21.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	175	USneu171.wav	MotivationCS21.png	MotivationCS21.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	230	USneg712.wav	19.png	19.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	230	USneg711.wav	19.png	19.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	230	USpos725.wav	23.png	23.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	230	USneg719.wav	19.png	19.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	171	USneg711.wav	18.png	39.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	171	USneg624.wav	18.png	39.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	230	USpos816.wav	31.png	31.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	230	USpos820.wav	31.png	31.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	171	USpos820.wav	17.png	31.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	230	USneg624.wav	07.png	07.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	230	USneg719.wav	07.png	07.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	175	USneu365.wav	MotivationCS01.png	MotivationCS01.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	175	USneu109.wav	MotivationCS21.png	MotivationCS01.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	171	USpos817.wav	17.png	31.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	171	USpos817.wav	06.png	31.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	171	USpos725.wav	17.png	39.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	171	USneg625.wav	39.png	39.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	230	USpos811.wav	31.png	31.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	171	USpos820.wav	06.png	39.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	230	USneg501.wav	19.png	19.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	230	USpos110.wav	23.png	23.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	171	USneg296.wav	18.png	18.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	171	USpos810.wav	17.png	31.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	171	USpos815.wav	06.png	39.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	171	USpos110.wav	17.png	19.png	0	versuchneu8	2015-06-02_12.19.08.411000
