subjnr,adapt_part,blocknr,trialnr,stimulus_type,stimulus_nr,us_valence,cs_filename,premask_filename,postmask_filename,us_filename,cs_duration,sicher1,sicher2,sicher3,sicher4,sicher5,sicher6,VF_pos,VF_neg
56,a1,3,4,adapt,2,positive,S   Y   B   F,maske_1.bmp,maske_2.bmp,2070.bmp,0.088,no,no,yes,no,no,no,yes,no
56,a1,3,5,adapt,4,negative,S   P   I   B,maske_1.bmp,maske_2.bmp,9630.bmp,0.088,no,no,no,yes,no,no,no,yes
56,a1,3,6,adapt,6,positive,R   I   W   S,maske_1.bmp,maske_2.bmp,2150.bmp,0.088,no,yes,no,no,no,no,yes,no
56,a1,3,7,adapt,3,negative,B   O   V   S,maske_1.bmp,maske_2.bmp,6838.bmp,0.088,no,no,no,yes,no,no,yes,no
56,a1,3,8,adapt,5,negative,P   A   B   F,maske_1.bmp,maske_2.bmp,2750.bmp,0.088,no,yes,no,no,no,no,no,yes
56,a1,3,9,adapt,1,positive,B   J   A   V,maske_1.bmp,maske_2.bmp,8200.bmp,0.088,no,yes,no,no,no,no,yes,no
56,a1,3,10,adapt,4,positive,S   P   I   B,maske_2.bmp,maske_1.bmp,2208.bmp,0.088,no,yes,no,no,no,no,yes,no
56,a1,3,11,adapt,3,positive,B   O   V   S,maske_2.bmp,maske_1.bmp,2160.bmp,0.088,no,yes,no,no,no,no,yes,no
56,a1,3,12,adapt,5,positive,P   A   B   F,maske_2.bmp,maske_1.bmp,4606.bmp,0.088,no,yes,no,no,no,no,yes,no
56,a1,3,13,adapt,6,negative,R   I   W   S,maske_2.bmp,maske_1.bmp,9006.bmp,0.088,no,yes,no,no,no,no,no,yes
56,a1,3,14,adapt,2,negative,S   Y   B   F,maske_2.bmp,maske_1.bmp,9560.bmp,0.088,no,yes,no,no,no,no,yes,no
56,a1,3,15,adapt_control,2,negative,F   R   Y   P,maske_2.bmp,maske_1.bmp,2053.bmp,0.5,no,no,no,no,no,yes,no,yes
56,a1,3,16,adapt_control,1,positive,F   O   P   V,maske_1.bmp,maske_2.bmp,1440.bmp,0.5,no,no,no,no,no,yes,yes,no
56,a1,4,1,adapt_control,2,negative,F   R   Y   P,maske_2.bmp,maske_1.bmp,9220.bmp,0.5,no,no,no,no,no,yes,yes,no
56,a1,4,2,adapt,1,negative,B   J   A   V,maske_1.bmp,maske_2.bmp,9500.bmp,0.092,no,no,yes,no,no,no,no,yes
56,a1,4,3,adapt,4,negative,S   P   I   B,maske_1.bmp,maske_2.bmp,6242.bmp,0.092,no,no,no,yes,no,no,no,yes
56,a1,4,4,adapt,3,negative,B   O   V   S,maske_1.bmp,maske_2.bmp,9430.bmp,0.092,no,no,no,no,yes,no,yes,no
56,a1,4,5,adapt,5,negative,P   A   B   F,maske_1.bmp,maske_2.bmp,2276.bmp,0.092,no,no,no,yes,no,no,yes,no
56,a1,4,6,adapt,6,positive,R   I   W   S,maske_2.bmp,maske_1.bmp,8420.bmp,0.092,no,no,yes,no,no,no,yes,no
56,a1,4,7,adapt,2,negative,S   Y   B   F,maske_2.bmp,maske_1.bmp,9102.bmp,0.092,no,no,yes,no,no,no,no,yes
56,a1,4,8,adapt_control,1,positive,F   O   P   V,maske_1.bmp,maske_2.bmp,5910.bmp,0.5,no,no,no,no,no,yes,yes,no
56,a1,4,9,adapt,2,positive,S   Y   B   F,maske_1.bmp,maske_2.bmp,7230.bmp,0.092,no,no,yes,no,no,no,no,yes
56,a1,4,10,adapt_control,1,negative,F   O   P   V,maske_2.bmp,maske_1.bmp,6570.1.bmp,0.5,no,no,no,no,no,yes,no,yes
56,a1,4,11,adapt,4,positive,S   P   I   B,maske_2.bmp,maske_1.bmp,2209.bmp,0.092,no,no,yes,no,no,no,yes,no
56,a1,4,12,adapt,1,positive,B   J   A   V,maske_2.bmp,maske_1.bmp,2057.bmp,0.092,no,yes,no,no,no,no,yes,no
56,a1,4,13,adapt,3,positive,B   O   V   S,maske_2.bmp,maske_1.bmp,8080.bmp,0.092,no,no,yes,no,no,no,yes,no
56,a1,4,14,adapt_control,2,positive,F   R   Y   P,maske_1.bmp,maske_2.bmp,2791.bmp,0.5,no,no,no,no,no,yes,yes,no
56,a1,4,15,adapt,5,positive,P   A   B   F,maske_2.bmp,maske_1.bmp,8330.bmp,0.092,no,no,no,yes,no,no,yes,no
56,a1,4,16,adapt,6,negative,R   I   W   S,maske_1.bmp,maske_2.bmp,9330.bmp,0.092,no,no,no,yes,no,no,no,yes
56,a1,5,1,adapt,2,positive,S   Y   B   F,maske_1.bmp,maske_2.bmp,1650.bmp,0.092,no,no,yes,no,no,no,yes,no
56,a1,5,2,adapt_control,1,negative,F   O   P   V,maske_2.bmp,maske_1.bmp,6555.bmp,0.5,no,no,no,no,no,yes,no,yes
56,a1,5,3,adapt,4,negative,S   P   I   B,maske_2.bmp,maske_1.bmp,8485.bmp,0.092,no,no,yes,no,no,no,no,yes
56,a1,5,4,adapt_control,2,positive,F   R   Y   P,maske_2.bmp,maske_1.bmp,1999.bmp,0.5,no,no,no,no,no,yes,yes,no
56,a1,5,5,adapt,3,positive,B   O   V   S,maske_2.bmp,maske_1.bmp,8190.bmp,0.092,no,no,yes,no,no,no,yes,no
56,a1,5,6,adapt,6,negative,R   I   W   S,maske_1.bmp,maske_2.bmp,9404.bmp,0.092,no,no,yes,no,no,no,no,yes
56,a1,5,7,adapt,1,positive,B   J   A   V,maske_1.bmp,maske_2.bmp,2900.2.bmp,0.092,no,no,no,yes,no,no,yes,no
56,a1,5,8,adapt,5,positive,P   A   B   F,maske_1.bmp,maske_2.bmp,2040.bmp,0.092,no,no,no,yes,no,no,yes,no
56,a1,5,9,adapt,6,positive,R   I   W   S,maske_2.bmp,maske_1.bmp,2050.bmp,0.092,no,no,yes,no,no,no,yes,no
56,a1,5,10,adapt_control,2,negative,F   R   Y   P,maske_1.bmp,maske_2.bmp,9400.bmp,0.5,no,no,no,no,no,yes,no,yes
56,a1,5,11,adapt_control,1,positive,F   O   P   V,maske_1.bmp,maske_2.bmp,7502.bmp,0.5,no,no,no,no,no,yes,yes,no
56,a1,5,12,adapt,3,negative,B   O   V   S,maske_1.bmp,maske_2.bmp,9830.bmp,0.092,no,no,yes,no,no,no,no,yes
56,a1,5,13,adapt,2,negative,S   Y   B   F,maske_2.bmp,maske_1.bmp,6831.bmp,0.092,no,no,no,yes,no,no,no,yes
56,a1,5,14,adapt,1,negative,B   J   A   V,maske_2.bmp,maske_1.bmp,9340.bmp,0.092,no,no,no,no,no,yes,no,yes
56,a1,5,15,adapt,4,positive,S   P   I   B,maske_1.bmp,maske_2.bmp,2071.bmp,0.092,no,no,yes,no,no,no,yes,no
56,a1,5,16,adapt,5,negative,P   A   B   F,maske_2.bmp,maske_1.bmp,3220.bmp,0.092,no,no,yes,no,no,no,no,yes
56,a2,1,1,adapt_control,1,positive,F   O   P   V,maske_1.bmp,maske_2.bmp,2091.bmp,0.5,no,no,no,no,no,yes,yes,no
56,a2,1,2,adapt_control,2,positive,F   R   Y   P,maske_2.bmp,maske_1.bmp,2660.bmp,0.5,no,no,no,no,no,yes,yes,no
56,a2,1,3,adapt,2,negative,S   Y   B   F,maske_1.bmp,maske_2.bmp,3300.bmp,0.088,no,no,yes,no,no,no,yes,no
56,a2,1,4,adapt,3,positive,B   O   V   S,maske_1.bmp,maske_2.bmp,7350.bmp,0.088,no,no,yes,no,no,no,yes,no
56,a2,1,5,adapt,4,positive,S   P   I   B,maske_1.bmp,maske_2.bmp,5460.bmp,0.088,no,yes,no,no,no,no,yes,no
56,a2,1,6,adapt,5,negative,P   A   B   F,maske_1.bmp,maske_2.bmp,9520.bmp,0.088,no,no,yes,no,no,no,no,yes
56,a2,1,7,adapt,1,negative,B   J   A   V,maske_1.bmp,maske_2.bmp,9561.bmp,0.088,no,no,yes,no,no,no,no,yes
56,a2,1,8,adapt,6,positive,R   I   W   S,maske_2.bmp,maske_1.bmp,7580.bmp,0.088,no,no,no,yes,no,no,yes,no
56,a2,1,9,adapt,5,positive,P   A   B   F,maske_2.bmp,maske_1.bmp,2340.bmp,0.088,no,no,yes,no,no,no,yes,no
56,a2,1,10,adapt,6,negative,R   I   W   S,maske_1.bmp,maske_2.bmp,1525.bmp,0.088,no,yes,no,no,no,no,no,yes
56,a2,1,11,adapt,4,negative,S   P   I   B,maske_2.bmp,maske_1.bmp,9265.bmp,0.088,yes,no,no,no,no,no,no,yes
56,a2,1,12,adapt,3,negative,B   O   V   S,maske_2.bmp,maske_1.bmp,2900.bmp,0.088,no,yes,no,no,no,no,no,yes
56,a2,1,13,adapt_control,2,negative,F   R   Y   P,maske_1.bmp,maske_2.bmp,9331.bmp,0.5,no,no,no,no,no,yes,no,yes
56,a2,1,14,adapt_control,1,negative,F   O   P   V,maske_2.bmp,maske_1.bmp,2375.1.bmp,0.5,no,no,no,no,no,yes,no,yes
56,a2,1,15,adapt,2,positive,S   Y   B   F,maske_2.bmp,maske_1.bmp,1463.bmp,0.088,no,yes,no,no,no,no,yes,no
56,a2,1,16,adapt,1,positive,B   J   A   V,maske_2.bmp,maske_1.bmp,8470.bmp,0.088,no,yes,no,no,no,no,yes,no
56,a2,2,1,adapt,3,positive,B   O   V   S,maske_1.bmp,maske_2.bmp,2311.bmp,0.09,no,yes,no,no,no,no,yes,no
56,a2,2,2,adapt_control,1,positive,F   O   P   V,maske_2.bmp,maske_1.bmp,8501.bmp,0.5,no,no,no,no,no,yes,yes,no
56,a2,2,3,adapt,6,negative,R   I   W   S,maske_1.bmp,maske_2.bmp,9041.bmp,0.09,no,yes,no,no,no,no,yes,no
56,a2,2,4,adapt,4,negative,S   P   I   B,maske_2.bmp,maske_1.bmp,9920.bmp,0.09,no,no,no,yes,no,no,no,yes
56,a2,2,5,adapt,5,positive,P   A   B   F,maske_2.bmp,maske_1.bmp,5994.bmp,0.09,no,no,yes,no,no,no,yes,no
56,a2,2,6,adapt,2,negative,S   Y   B   F,maske_1.bmp,maske_2.bmp,6311.bmp,0.09,no,no,yes,no,no,no,no,yes
56,a2,2,7,adapt_control,2,negative,F   R   Y   P,maske_1.bmp,maske_2.bmp,6020.bmp,0.5,no,no,no,no,no,yes,no,yes
56,a2,2,8,adapt,1,negative,B   J   A   V,maske_1.bmp,maske_2.bmp,9007.bmp,0.09,yes,no,no,no,no,no,no,yes
56,a2,2,9,adapt,1,positive,B   J   A   V,maske_2.bmp,maske_1.bmp,8540.bmp,0.09,yes,no,no,no,no,no,yes,no
56,a2,2,10,adapt,2,positive,S   Y   B   F,maske_2.bmp,maske_1.bmp,2058.bmp,0.09,no,no,yes,no,no,no,yes,no
56,a2,2,11,adapt,4,positive,S   P   I   B,maske_1.bmp,maske_2.bmp,5830.bmp,0.09,no,no,no,yes,no,no,yes,no
56,a2,2,12,adapt,5,negative,P   A   B   F,maske_1.bmp,maske_2.bmp,9432.bmp,0.09,no,no,no,yes,no,no,no,yes
56,a2,2,13,adapt,6,positive,R   I   W   S,maske_2.bmp,maske_1.bmp,8370.bmp,0.09,no,no,yes,no,no,no,no,yes
56,a2,2,14,adapt_control,1,negative,F   O   P   V,maske_1.bmp,maske_2.bmp,6530.bmp,0.5,no,no,no,no,no,yes,no,yes
56,a2,2,15,adapt_control,2,positive,F   R   Y   P,maske_2.bmp,maske_1.bmp,4220.bmp,0.5,no,no,no,no,no,yes,yes,no
56,a2,2,16,adapt,3,negative,B   O   V   S,maske_2.bmp,maske_1.bmp,2710.bmp,0.09,no,no,no,no,yes,no,no,yes
56,a2,3,1,adapt,4,negative,S   P   I   B,maske_1.bmp,maske_2.bmp,9180.bmp,0.09,no,no,yes,no,no,no,no,yes
56,a2,3,2,adapt,6,negative,R   I   W   S,maske_2.bmp,maske_1.bmp,3160.bmp,0.09,no,no,no,yes,no,no,no,yes
56,a2,3,3,adapt_control,2,positive,F   R   Y   P,maske_1.bmp,maske_2.bmp,5594.bmp,0.5,no,no,no,no,no,yes,yes,no
56,a2,3,4,adapt,2,negative,S   Y   B   F,maske_2.bmp,maske_1.bmp,9342.bmp,0.09,no,no,no,no,no,yes,no,yes
56,a2,3,5,adapt,5,negative,P   A   B   F,maske_2.bmp,maske_1.bmp,7380.bmp,0.09,no,no,no,yes,no,no,no,yes
56,a2,3,6,adapt,3,negative,B   O   V   S,maske_2.bmp,maske_1.bmp,9280.bmp,0.09,no,no,no,yes,no,no,no,yes
56,a2,3,7,adapt_control,1,negative,F   O   P   V,maske_2.bmp,maske_1.bmp,3550.bmp,0.5,no,no,no,no,no,yes,no,yes
56,a2,3,8,adapt,1,negative,B   J   A   V,maske_1.bmp,maske_2.bmp,2141.bmp,0.09,no,no,yes,no,no,no,no,yes
56,a2,3,9,adapt,2,positive,S   Y   B   F,maske_1.bmp,maske_2.bmp,5831.bmp,0.09,no,no,no,yes,no,no,yes,no
56,a2,3,10,adapt_control,2,negative,F   R   Y   P,maske_2.bmp,maske_1.bmp,9421.bmp,0.5,no,no,no,no,no,yes,no,yes
56,a2,3,11,adapt,6,positive,R   I   W   S,maske_1.bmp,maske_2.bmp,4622.bmp,0.09,no,no,no,yes,no,no,yes,no
56,a2,3,12,adapt,5,positive,P   A   B   F,maske_1.bmp,maske_2.bmp,1710.bmp,0.09,no,no,no,yes,no,no,yes,no
56,a2,3,13,adapt,4,positive,S   P   I   B,maske_2.bmp,maske_1.bmp,2080.bmp,0.09,no,no,yes,no,no,no,yes,no
56,a2,3,14,adapt,1,positive,B   J   A   V,maske_2.bmp,maske_1.bmp,8170.bmp,0.09,no,yes,no,no,no,no,yes,no
56,a2,3,15,adapt,3,positive,B   O   V   S,maske_1.bmp,maske_2.bmp,2550.bmp,0.09,no,yes,no,no,no,no,yes,no
56,a2,3,16,adapt_control,1,positive,F   O   P   V,maske_1.bmp,maske_2.bmp,5629.bmp,0.5,no,no,no,no,no,yes,yes,no
56,a2,4,1,adapt,3,negative,B   O   V   S,maske_2.bmp,maske_1.bmp,9630.bmp,0.086,no,no,yes,no,no,no,no,yes
56,a2,4,2,adapt_control,2,positive,F   R   Y   P,maske_2.bmp,maske_1.bmp,2070.bmp,0.5,no,no,no,no,no,yes,yes,no
56,a2,4,3,adapt,4,negative,S   P   I   B,maske_1.bmp,maske_2.bmp,9435.bmp,0.086,no,no,no,yes,no,no,no,yes
56,a2,4,4,adapt,6,negative,R   I   W   S,maske_1.bmp,maske_2.bmp,9182.bmp,0.086,no,yes,no,no,no,no,no,yes
56,a2,4,5,adapt,1,positive,B   J   A   V,maske_2.bmp,maske_1.bmp,7470.bmp,0.086,no,yes,no,no,no,no,yes,no
56,a2,4,6,adapt,5,negative,P   A   B   F,maske_1.bmp,maske_2.bmp,9000.bmp,0.086,no,yes,no,no,no,no,no,yes
56,a2,4,7,adapt,2,positive,S   Y   B   F,maske_1.bmp,maske_2.bmp,2150.bmp,0.086,no,yes,no,no,no,no,yes,no
56,a2,4,8,adapt_control,1,negative,F   O   P   V,maske_2.bmp,maske_1.bmp,2750.bmp,0.5,no,no,no,no,no,yes,no,yes
56,a2,4,9,adapt_control,2,negative,F   R   Y   P,maske_1.bmp,maske_2.bmp,9560.bmp,0.5,no,no,no,no,no,yes,no,yes
56,a2,4,10,adapt,3,positive,B   O   V   S,maske_1.bmp,maske_2.bmp,2208.bmp,0.086,no,no,yes,no,no,no,no,yes
56,a2,4,11,adapt,1,negative,B   J   A   V,maske_1.bmp,maske_2.bmp,9050.bmp,0.086,no,yes,no,no,no,no,no,yes
56,a2,4,12,adapt_control,1,positive,F   O   P   V,maske_1.bmp,maske_2.bmp,4606.bmp,0.5,no,no,no,no,no,yes,yes,no
56,a2,4,13,adapt,5,positive,P   A   B   F,maske_2.bmp,maske_1.bmp,8496.bmp,0.086,no,yes,no,no,no,no,yes,no
56,a2,4,14,adapt,4,positive,S   P   I   B,maske_2.bmp,maske_1.bmp,1440.bmp,0.086,no,yes,no,no,no,no,yes,no
56,a2,4,15,adapt,2,negative,S   Y   B   F,maske_2.bmp,maske_1.bmp,9006.bmp,0.086,yes,no,no,no,no,no,no,yes
56,a2,4,16,adapt,6,positive,R   I   W   S,maske_2.bmp,maske_1.bmp,8200.bmp,0.086,no,no,yes,no,no,no,yes,no
56,a2,5,1,adapt,2,negative,S   Y   B   F,maske_1.bmp,maske_2.bmp,9330.bmp,0.088,no,no,no,yes,no,no,no,yes
56,a2,5,2,adapt,6,negative,R   I   W   S,maske_1.bmp,maske_2.bmp,9500.bmp,0.088,no,no,yes,no,no,no,no,yes
56,a2,5,3,adapt_control,1,negative,F   O   P   V,maske_2.bmp,maske_1.bmp,2276.bmp,0.5,no,no,no,no,no,yes,no,yes
56,a2,5,4,adapt,3,positive,B   O   V   S,maske_2.bmp,maske_1.bmp,2209.bmp,0.088,no,no,yes,no,no,no,yes,no
56,a2,5,5,adapt,1,negative,B   J   A   V,maske_1.bmp,maske_2.bmp,2053.bmp,0.088,no,no,no,yes,no,no,no,yes
56,a2,5,6,adapt_control,2,positive,F   R   Y   P,maske_2.bmp,maske_1.bmp,7230.bmp,0.5,no,no,no,no,no,yes,yes,no
56,a2,5,7,adapt,4,positive,S   P   I   B,maske_2.bmp,maske_1.bmp,5910.bmp,0.088,no,no,yes,no,no,no,yes,no
56,a2,5,8,adapt,5,positive,P   A   B   F,maske_1.bmp,maske_2.bmp,2160.bmp,0.088,no,no,no,yes,no,no,yes,no
56,a2,5,9,adapt,1,positive,B   J   A   V,maske_2.bmp,maske_1.bmp,7330.bmp,0.088,no,no,yes,no,no,no,yes,no
56,a2,5,10,adapt,5,negative,P   A   B   F,maske_2.bmp,maske_1.bmp,6838.bmp,0.088,no,no,no,no,yes,no,yes,no
56,a2,5,11,adapt,2,positive,S   Y   B   F,maske_2.bmp,maske_1.bmp,8420.bmp,0.088,no,no,yes,no,no,no,yes,no
56,a2,5,12,adapt,6,positive,R   I   W   S,maske_2.bmp,maske_1.bmp,2057.bmp,0.088,no,no,no,yes,no,no,yes,no
56,a2,5,13,adapt_control,2,negative,F   R   Y   P,maske_1.bmp,maske_2.bmp,9102.bmp,0.5,no,no,no,no,no,yes,no,yes
56,a2,5,14,adapt,4,negative,S   P   I   B,maske_1.bmp,maske_2.bmp,6570.1.bmp,0.088,no,no,yes,no,no,no,no,yes
56,a2,5,15,adapt_control,1,positive,F   O   P   V,maske_1.bmp,maske_2.bmp,8330.bmp,0.5,no,no,no,no,no,yes,yes,no
56,a2,5,16,adapt,3,negative,B   O   V   S,maske_1.bmp,maske_2.bmp,6242.bmp,0.088,no,no,no,no,yes,no,no,yes
