subjnr;blocknr;trialnr;adaptation_target;us_valence;cs_filename;premask_filename;postmask_filename;us_filename;cs_duration;direction_pretrial; direction; reversals_for_calc; reversals_total; stepsize; pas_rating
74;1;1;5.0;neutral;F   R   A   P;maske_1.bmp;maske_2.bmp;Cardboard 2.jpg;0.12;0;1;0;0;0.008;1
74;1;2;2.5;neutral;S   A   B   F;maske_1.bmp;maske_2.bmp;Office supplies 3.jpg;0.07;0;1;0;0;0.008;1
74;1;3;5.0;neutral;P   A   B   F;maske_2.bmp;maske_1.bmp;Fence 1.jpg;0.128;1;1;0;0;0.008;4
74;1;4;5.0;neutral;S   P   O   B;maske_2.bmp;maske_1.bmp;Rocks 2.jpg;0.136;1;-1;1;1;0.008;6
74;1;5;2.5;neutral;F   O   P   V;maske_1.bmp;maske_2.bmp;Car 2.jpg;0.07800000000000001;1;1;0;0;0.008;2
74;1;6;2.5;neutral;B   O   V   S;maske_1.bmp;maske_2.bmp;Roofing 2.jpg;0.08600000000000002;1;1;0;0;0.008;2
74;1;7;5.0;neutral;R   O   W   S;maske_1.bmp;maske_2.bmp;Cups 4.jpg;0.128;-1;-1;1;1;0.008;5
74;1;8;2.5;neutral;B   J   A   V;maske_1.bmp;maske_2.bmp;Destruction 9.jpg;0.09400000000000003;1;-1;1;1;0.008;4
74;1;9;2.5;neutral;S   A   B   F;maske_2.bmp;maske_1.bmp;Barrels 1.jpg;0.08600000000000002;-1;-1;1;1;0.008;4
74;1;10;5.0;neutral;R   O   W   S;maske_2.bmp;maske_1.bmp;Roofing 4.jpg;0.128;-1;-1;1;1;0.008;5
74;1;11;5.0;neutral;P   A   B   F;maske_1.bmp;maske_2.bmp;Crow 2.jpg;0.128;-1;-1;1;1;0.008;5
74;1;12;2.5;neutral;B   J   A   V;maske_2.bmp;maske_1.bmp;Roofing 1.jpg;0.07800000000000001;-1;-1;1;1;0.008;3
74;1;13;2.5;neutral;F   O   P   V;maske_2.bmp;maske_1.bmp;Bed 1.jpg;0.07;-1;-1;1;1;0.008;4
74;1;14;2.5;neutral;B   O   V   S;maske_2.bmp;maske_1.bmp;Prison 1.jpg;0.062000000000000006;-1;1;2;2;0.004;2
74;1;15;5.0;neutral;S   P   O   B;maske_1.bmp;maske_2.bmp;Bark 1.jpg;0.128;-1;-1;1;1;0.008;5
74;1;16;5.0;neutral;F   R   A   P;maske_2.bmp;maske_1.bmp;Keyboard 2.jpg;0.128;-1;-1;1;1;0.008;5
74;2;1;5.0;neutral;R   O   W   S;maske_1.bmp;maske_2.bmp;Fire hydrant 1.jpg;0.128;-1;-1;1;1;0.008;5
74;2;2;5.0;neutral;S   P   O   B;maske_1.bmp;maske_2.bmp;Fire hydrant 4.jpg;0.128;-1;-1;1;1;0.008;5
74;2;3;2.5;neutral;B   O   V   S;maske_1.bmp;maske_2.bmp;Dirt 3.jpg;0.066;1;-1;3;3;0.004;3
74;2;4;5.0;neutral;P   A   B   F;maske_1.bmp;maske_2.bmp;Bark 5.jpg;0.128;-1;-1;1;1;0.008;5
74;2;5;2.5;neutral;S   A   B   F;maske_1.bmp;maske_2.bmp;Office supplies 4.jpg;0.062;-1;1;4;4;0.002;2
74;2;6;5.0;neutral;F   R   A   P;maske_2.bmp;maske_1.bmp;Paper 5.jpg;0.128;-1;-1;1;1;0.008;5
74;2;7;2.5;neutral;B   J   A   V;maske_2.bmp;maske_1.bmp;Alcohol 3.jpg;0.064;1;1;4;4;0.002;2
74;2;8;2.5;neutral;F   O   P   V;maske_2.bmp;maske_1.bmp;Bark 2.jpg;0.066;1;1;4;4;0.002;1
74;2;9;5.0;neutral;P   A   B   F;maske_2.bmp;maske_1.bmp;Neutral face 4.jpg;0.128;-1;-1;1;1;0.008;5
74;2;10;5.0;neutral;R   O   W   S;maske_2.bmp;maske_1.bmp;Fence 3.jpg;0.128;-1;-1;1;1;0.008;5
74;2;11;2.5;neutral;B   O   V   S;maske_2.bmp;maske_1.bmp;Railroad 1.jpg;0.068;1;-1;5;5;0.002;3
74;2;12;5.0;neutral;S   P   O   B;maske_2.bmp;maske_1.bmp;Cups 2.jpg;0.128;-1;-1;1;1;0.008;5
74;2;13;5.0;neutral;F   R   A   P;maske_1.bmp;maske_2.bmp;Pinecone 2.jpg;0.128;-1;-1;1;1;0.008;5
74;2;14;2.5;neutral;S   A   B   F;maske_2.bmp;maske_1.bmp;Keys 1.jpg;0.066;-1;-1;5;5;0.002;3
74;2;15;2.5;neutral;B   J   A   V;maske_1.bmp;maske_2.bmp;Skyscraper 1.jpg;0.064;-1;1;6;6;0.002;1
74;2;16;2.5;neutral;F   O   P   V;maske_1.bmp;maske_2.bmp;Keyboard 3.jpg;0.066;1;1;6;6;0.002;1
74;3;1;5.0;neutral;P   A   B   F;maske_2.bmp;maske_1.bmp;Neutral pose 3.jpg;0.128;-1;1;2;2;0.004;4
74;3;2;2.5;neutral;B   O   V   S;maske_2.bmp;maske_1.bmp;Bed 1.jpg;0.068;1;1;6;6;0.002;2
74;3;3;5.0;neutral;S   P   O   B;maske_1.bmp;maske_2.bmp;Neutral face 1.jpg;0.132;1;1;2;2;0.004;5
74;3;4;5.0;neutral;R   O   W   S;maske_2.bmp;maske_1.bmp;Roofing 3.jpg;0.132;1;1;2;2;0.004;5
74;3;5;2.5;neutral;S   A   B   F;maske_1.bmp;maske_2.bmp;Rocks 3.jpg;0.07;1;1;6;6;0.002;2
74;3;6;5.0;neutral;F   R   A   P;maske_2.bmp;maske_1.bmp;Neutral face 4.jpg;0.132;1;1;2;2;0.004;5
74;3;7;2.5;neutral;F   O   P   V;maske_1.bmp;maske_2.bmp;Rocks 2.jpg;0.07200000000000001;1;1;6;6;0.002;2
74;3;8;2.5;neutral;B   J   A   V;maske_1.bmp;maske_2.bmp;Cardboard 2.jpg;0.07400000000000001;1;1;6;6;0.002;1
74;3;9;2.5;neutral;S   A   B   F;maske_2.bmp;maske_1.bmp;Railroad 1.jpg;0.07600000000000001;1;-1;7;7;0.002;4
74;3;10;5.0;neutral;S   P   O   B;maske_2.bmp;maske_1.bmp;Drink 2.jpg;0.132;1;1;2;2;0.004;5
74;3;11;2.5;neutral;F   O   P   V;maske_2.bmp;maske_1.bmp;Drink 2.jpg;0.07400000000000001;-1;-1;7;7;0.002;4
74;3;12;5.0;neutral;F   R   A   P;maske_1.bmp;maske_2.bmp;Bark 4.jpg;0.132;1;1;2;2;0.004;5
74;3;13;2.5;neutral;B   O   V   S;maske_1.bmp;maske_2.bmp;Fence 5.jpg;0.07200000000000001;-1;1;8;8;0.001;2
74;3;14;5.0;neutral;P   A   B   F;maske_1.bmp;maske_2.bmp;Keys 1.jpg;0.132;1;1;2;2;0.004;5
74;3;15;5.0;neutral;R   O   W   S;maske_1.bmp;maske_2.bmp;Fence 1.jpg;0.132;1;1;2;2;0.004;5
74;3;16;2.5;neutral;B   J   A   V;maske_2.bmp;maske_1.bmp;Bored pose 1.jpg;0.07300000000000001;1;-1;9;9;0.001;3
74;4;1;5.0;neutral;F   R   A   P;maske_1.bmp;maske_2.bmp;Neutral pose 3.jpg;0.132;1;1;2;2;0.004;5
74;4;2;2.5;neutral;S   A   B   F;maske_2.bmp;maske_1.bmp;Roofing 1.jpg;0.07200000000000001;-1;-1;9;9;0.001;4
74;4;3;2.5;neutral;B   J   A   V;maske_2.bmp;maske_1.bmp;Car 2.jpg;0.07100000000000001;-1;1;10;10;0.001;1
74;4;4;5.0;neutral;R   O   W   S;maske_2.bmp;maske_1.bmp;Office supplies 3.jpg;0.132;1;1;2;2;0.004;5
74;4;5;2.5;neutral;B   O   V   S;maske_2.bmp;maske_1.bmp;Office supplies 4.jpg;0.07200000000000001;1;-1;11;11;0.001;4
74;4;6;2.5;neutral;F   O   P   V;maske_1.bmp;maske_2.bmp;Bark 5.jpg;0.07100000000000001;-1;1;12;12;0.001;2
74;4;7;5.0;neutral;P   A   B   F;maske_1.bmp;maske_2.bmp;Fence 5.jpg;0.132;1;1;2;2;0.004;5
74;4;8;5.0;neutral;S   P   O   B;maske_1.bmp;maske_2.bmp;Pinecone 2.jpg;0.132;1;-1;3;3;0.004;6
74;4;9;5.0;neutral;F   R   A   P;maske_2.bmp;maske_1.bmp;Cups 2.jpg;0.128;-1;-1;3;3;0.004;5
74;4;10;2.5;neutral;B   J   A   V;maske_1.bmp;maske_2.bmp;Bark 2.jpg;0.07200000000000001;1;-1;13;13;0.001;4
74;4;11;2.5;neutral;F   O   P   V;maske_2.bmp;maske_1.bmp;Neutral face 1.jpg;0.07100000000000001;-1;1;14;14;0.001;2
74;4;12;2.5;neutral;S   A   B   F;maske_1.bmp;maske_2.bmp;Destruction 9.jpg;0.07200000000000001;1;1;14;14;0.001;2
74;4;13;5.0;neutral;R   O   W   S;maske_1.bmp;maske_2.bmp;Rocks 3.jpg;0.128;-1;-1;3;3;0.004;5
74;4;14;2.5;neutral;B   O   V   S;maske_1.bmp;maske_2.bmp;Bark 1.jpg;0.07300000000000001;1;1;14;14;0.001;2
74;4;15;5.0;neutral;P   A   B   F;maske_2.bmp;maske_1.bmp;Bored pose 1.jpg;0.128;-1;-1;3;3;0.004;5
74;4;16;5.0;neutral;S   P   O   B;maske_2.bmp;maske_1.bmp;Dirt 3.jpg;0.128;-1;-1;3;3;0.004;5
74;5;1;2.5;neutral;B   J   A   V;maske_2.bmp;maske_1.bmp;Bark 4.jpg;0.07400000000000001;1;-1;15;15;0.001;3
74;5;2;5.0;neutral;S   P   O   B;maske_1.bmp;maske_2.bmp;Fire hydrant 1.jpg;0.128;-1;-1;3;3;0.004;5
74;5;3;5.0;neutral;F   R   A   P;maske_2.bmp;maske_1.bmp;Cups 4.jpg;0.128;-1;-1;3;3;0.004;5
74;5;4;2.5;neutral;B   O   V   S;maske_1.bmp;maske_2.bmp;Roofing 3.jpg;0.07300000000000001;-1;-1;15;15;0.001;3
74;5;5;5.0;neutral;P   A   B   F;maske_1.bmp;maske_2.bmp;Fence 3.jpg;0.128;-1;-1;3;3;0.004;5
74;5;6;2.5;neutral;S   A   B   F;maske_1.bmp;maske_2.bmp;Alcohol 3.jpg;0.07200000000000001;-1;-1;15;15;0.001;3
74;5;7;2.5;neutral;F   O   P   V;maske_2.bmp;maske_1.bmp;Prison 1.jpg;0.07100000000000001;-1;1;16;16;0.001;2
74;5;8;5.0;neutral;R   O   W   S;maske_1.bmp;maske_2.bmp;Crow 2.jpg;0.128;-1;1;4;4;0.002;4
74;5;9;2.5;neutral;B   O   V   S;maske_2.bmp;maske_1.bmp;Paper 5.jpg;0.07200000000000001;1;-1;17;17;0.001;4
74;5;10;5.0;neutral;R   O   W   S;maske_2.bmp;maske_1.bmp;Skyscraper 1.jpg;0.13;1;1;4;4;0.002;5
74;5;11;5.0;neutral;S   P   O   B;maske_2.bmp;maske_1.bmp;Barrels 1.jpg;0.13;1;1;4;4;0.002;5
74;5;12;2.5;neutral;S   A   B   F;maske_2.bmp;maske_1.bmp;Fire hydrant 4.jpg;0.07100000000000001;-1;1;18;18;0.001;1
74;5;13;2.5;neutral;F   O   P   V;maske_1.bmp;maske_2.bmp;Keyboard 2.jpg;0.07200000000000001;1;1;18;18;0.001;2
74;5;14;2.5;neutral;B   J   A   V;maske_1.bmp;maske_2.bmp;Keyboard 3.jpg;0.07300000000000001;1;-1;19;19;0.001;3
74;5;15;5.0;neutral;P   A   B   F;maske_2.bmp;maske_1.bmp;Roofing 2.jpg;0.13;1;1;4;4;0.002;5
74;5;16;5.0;neutral;F   R   A   P;maske_1.bmp;maske_2.bmp;Roofing 4.jpg;0.13;1;1;4;4;0.002;5
