subjnr;adaptation_target;cs_filename;us_valence;pos_sure;pos_probably;pos_guess;neg_sure;neg_probably;neg_guess
46;pas_2.5;N   U   G   Z;negative;no;yes;no;no;no;no
46;pas_2.5;K   L   E   M;positive;no;no;no;no;yes;no
46;pas_2.5;G   N   U   Z;negative;no;no;no;no;yes;no
46;pas_2.5;H   E   L   K;positive;no;no;no;no;no;yes
46;pas_2.5;T   U   G   Z;negative;yes;no;no;no;no;no
46;pas_2.5;M   E   H   K;positive;no;no;no;no;no;yes
46;pas_2.5;Z   U   N   T;negative;no;no;no;no;yes;no
46;pas_2.5;G   U   T   Z;negative;no;yes;no;no;no;no
46;pas_5;J   O   R   B;positive;no;yes;no;no;no;no
46;pas_5;B   J   O   F;positive;no;no;yes;no;no;no
46;pas_2.5;K   E   H   M;positive;no;no;no;no;yes;no
46;pas_5;S   W   A   P;negative;no;no;no;yes;no;no
46;pas_5;V   A   P   S;negative;no;no;no;yes;no;no
46;pas_2.5;T   U   N   G;negative;no;no;no;no;no;yes
46;pas_5;R   O   B   F;positive;no;no;yes;no;no;no
46;pas_5;J   O   R   F;positive;no;yes;no;no;no;no
46;pas_5;S   P   A   V;negative;no;no;no;yes;no;no
46;pas_2.5;Z   U   N   G;negative;yes;no;no;no;no;no
46;pas_5;W   A   P   S;negative;no;no;no;no;yes;no
46;pas_2.5;G   U   N   T;negative;no;no;no;no;no;yes
46;pas_5;S   A   P   V;negative;no;no;no;yes;no;no
46;pas_2.5;H   E   M   K;positive;yes;no;no;no;no;no
46;pas_5;P   S   A   V;negative;no;no;no;yes;no;no
46;pas_5;J   O   B   F;positive;no;yes;no;no;no;no
46;pas_2.5;L   E   M   K;positive;yes;no;no;no;no;no
46;pas_5;F   R   O   B;positive;no;yes;no;no;no;no
46;pas_5;B   O   R   F;positive;yes;no;no;no;no;no
46;pas_2.5;K   L   E   H;positive;no;no;no;no;no;yes
46;pas_5;V   A   S   P;negative;no;no;no;yes;no;no
46;pas_2.5;K   E   L   M;positive;yes;no;no;no;no;no
46;pas_5;F   O   R   B;positive;no;yes;no;no;no;no
46;pas_5;S   V   A   W;negative;yes;no;no;no;no;no
