ParticipantNumber	SpaceYesNo	LeftOrder	RightOrder	IsTarget	Valence	Interval	timeStamp
45	0	neu_l_23.wav	pos_r_59.wav	0	0	0	2015-06-15_14.58.26.732000
45	0	neu_l_53.wav	pos_r_11.wav	0	1	1	2015-06-15_14.58.26.732000
45	0	neu_l_59.wav	neu_r_20.wav	0	0	0	2015-06-15_14.58.26.732000
45	0	neu_l_39.wav	r_lup_20.wav	1	1	1	2015-06-15_14.58.26.732000
45	0	neu_l_3.wav	pos_r_73.wav	0	0	0	2015-06-15_14.58.26.732000
45	0	neu_l_16.wav	neg_r_74.wav	0	-1	1	2015-06-15_14.58.26.732000
45	0	neu_l_1.wav	neu_r_20.wav	0	0	0	2015-06-15_14.58.26.732000
45	0	neu_l_77.wav	r_lup_17.wav	1	1	1	2015-06-15_14.58.26.732000
45	1	neu_l_40.wav	pos_r_46.wav	0	0	0	2015-06-15_14.58.26.732000
45	0	neu_l_69.wav	r_lup_18.wav	1	-1	1	2015-06-15_14.58.26.732000
45	1	neu_l_45.wav	neg_r_65.wav	0	0	0	2015-06-15_14.58.26.732000
45	0	neu_l_41.wav	r_lup_18.wav	1	-1	1	2015-06-15_14.58.26.732000
45	1	neu_l_4.wav	neg_r_35.wav	0	0	0	2015-06-15_14.58.26.732000
45	0	l_nif_6.wav	neu_r_24.wav	0	0	0	2015-06-15_14.58.26.732000
45	0	neu_l_45.wav	neg_r_30.wav	0	-1	1	2015-06-15_14.58.26.732000
45	0	neu_l_32.wav	neu_r_72.wav	0	0	0	2015-06-15_14.58.26.732000
45	0	neu_l_23.wav	r_lup_2.wav	1	-1	1	2015-06-15_14.58.26.732000
45	1	neu_l_49.wav	neg_r_29.wav	0	0	0	2015-06-15_14.58.26.732000
45	0	l_nif_11.wav	neu_r_30.wav	0	0	0	2015-06-15_14.58.26.732000
45	0	neu_l_76.wav	r_lup_2.wav	1	-1	1	2015-06-15_14.58.26.732000
45	1	neu_l_65.wav	neg_r_60.wav	0	0	0	2015-06-15_14.58.26.732000
45	0	neu_l_33.wav	pos_r_38.wav	0	1	1	2015-06-15_14.58.26.732000
45	0	neu_l_22.wav	neu_r_35.wav	0	0	0	2015-06-15_14.58.26.732000
45	0	l_nif_9.wav	neu_r_72.wav	0	0	0	2015-06-15_14.58.26.732000
45	0	neu_l_19.wav	r_lup_17.wav	1	1	1	2015-06-15_14.58.26.732000
45	1	neu_l_40.wav	pos_r_12.wav	0	0	0	2015-06-15_14.58.26.732000
45	0	l_nif_7.wav	neu_r_28.wav	0	0	0	2015-06-15_14.58.26.732000
45	0	l_nif_19.wav	neu_r_2.wav	0	0	0	2015-06-15_14.58.26.732000
45	0	l_nif_16.wav	neu_r_58.wav	0	0	0	2015-06-15_14.58.26.732000
45	0	neu_l_12.wav	r_lup_20.wav	1	1	1	2015-06-15_14.58.26.732000
45	1	neu_l_23.wav	pos_r_59.wav	0	0	0	2015-06-15_14.58.26.732000
45	0	neu_l_53.wav	pos_r_11.wav	0	1	1	2015-06-15_14.58.26.732000
45	0	neu_l_59.wav	neu_r_20.wav	0	0	0	2015-06-15_14.58.26.732000
45	0	neu_l_39.wav	r_lup_20.wav	1	1	1	2015-06-15_14.58.26.732000
45	1	neu_l_3.wav	pos_r_73.wav	0	0	0	2015-06-15_14.58.26.732000
