ParticipantNumber	SpaceYesNo	LeftOrder	RightOrder	IsTarget	Valence	Interval	timeStamp
30	0	neu_l_12.wav	pos_r_33.wav	0	1	1	2015-06-10_11.58.51.227000
30	0	neu_l_76.wav	neu_r_52.wav	0	0	0	2015-06-10_11.58.51.227000
30	0	neu_l_29.wav	r_tol_5.wav	1	-1	1	2015-06-10_11.58.51.227000
30	0	neu_l_60.wav	neg_r_45.wav	0	0	0	2015-06-10_11.58.51.227000
30	0	neu_l_78.wav	r_tol_13.wav	1	-1	1	2015-06-10_11.58.51.227000
30	0	neu_l_69.wav	neg_r_78.wav	0	0	0	2015-06-10_11.58.51.227000
30	0	neu_l_78.wav	r_tol_18.wav	1	1	1	2015-06-10_11.58.51.227000
30	0	neu_l_16.wav	pos_r_22.wav	0	0	0	2015-06-10_11.58.51.227000
30	0	l_lup_4.wav	neu_r_77.wav	0	0	0	2015-06-10_11.58.51.227000
30	0	neu_l_70.wav	r_tol_15.wav	1	1	1	2015-06-10_11.58.51.227000
30	1	neu_l_28.wav	pos_r_44.wav	0	0	0	2015-06-10_11.58.51.227000
30	0	neu_l_62.wav	r_tol_18.wav	1	1	1	2015-06-10_11.58.51.227000
30	1	neu_l_64.wav	pos_r_59.wav	0	0	0	2015-06-10_11.58.51.227000
30	0	neu_l_10.wav	r_tol_5.wav	1	-1	1	2015-06-10_11.58.51.227000
30	0	neu_l_62.wav	neg_r_32.wav	0	0	0	2015-06-10_11.58.51.227000
30	0	l_lup_15.wav	neu_r_48.wav	0	0	0	2015-06-10_11.58.51.227000
30	0	neu_l_29.wav	pos_r_47.wav	0	1	1	2015-06-10_11.58.51.227000
30	0	neu_l_69.wav	neu_r_49.wav	0	0	0	2015-06-10_11.58.51.227000
30	0	neu_l_4.wav	r_tol_15.wav	1	1	1	2015-06-10_11.58.51.227000
30	1	neu_l_60.wav	pos_r_28.wav	0	0	0	2015-06-10_11.58.51.227000
30	0	l_lup_16.wav	neu_r_33.wav	0	0	0	2015-06-10_11.58.51.227000
30	0	l_lup_10.wav	neu_r_67.wav	0	0	0	2015-06-10_11.58.51.227000
30	0	neu_l_74.wav	r_tol_13.wav	1	-1	1	2015-06-10_11.58.51.227000
30	0	neu_l_53.wav	neg_r_25.wav	0	0	0	2015-06-10_11.58.51.227000
30	0	l_lup_19.wav	neu_r_44.wav	0	0	0	2015-06-10_11.58.51.227000
30	0	l_lup_14.wav	neu_r_73.wav	0	0	0	2015-06-10_11.58.51.227000
30	0	neu_l_78.wav	neg_r_24.wav	0	-1	1	2015-06-10_11.58.51.227000
30	0	neu_l_45.wav	neu_r_14.wav	0	0	0	2015-06-10_11.58.51.227000
30	0	neu_l_34.wav	neg_r_47.wav	0	-1	1	2015-06-10_11.58.51.227000
30	0	neu_l_54.wav	neu_r_5.wav	0	0	0	2015-06-10_11.58.51.227000
30	0	neu_l_12.wav	pos_r_33.wav	0	1	1	2015-06-10_11.58.51.227000
30	0	neu_l_76.wav	neu_r_52.wav	0	0	0	2015-06-10_11.58.51.227000
30	0	neu_l_29.wav	r_tol_5.wav	1	-1	1	2015-06-10_11.58.51.227000
30	1	neu_l_60.wav	neg_r_45.wav	0	0	0	2015-06-10_11.58.51.227000
30	0	neu_l_78.wav	r_tol_13.wav	1	-1	1	2015-06-10_11.58.51.227000
30	0	neu_l_69.wav	neg_r_78.wav	0	0	0	2015-06-10_11.58.51.227000
30	0	neu_l_78.wav	r_tol_18.wav	1	1	1	2015-06-10_11.58.51.227000
30	1	neu_l_16.wav	pos_r_22.wav	0	0	0	2015-06-10_11.58.51.227000
30	0	l_lup_4.wav	neu_r_77.wav	0	0	0	2015-06-10_11.58.51.227000
30	0	neu_l_70.wav	r_tol_15.wav	1	1	1	2015-06-10_11.58.51.227000
30	1	neu_l_28.wav	pos_r_44.wav	0	0	0	2015-06-10_11.58.51.227000
30	0	neu_l_62.wav	r_tol_18.wav	1	1	1	2015-06-10_11.58.51.227000
30	1	neu_l_64.wav	pos_r_59.wav	0	0	0	2015-06-10_11.58.51.227000
30	0	neu_l_10.wav	r_tol_5.wav	1	-1	1	2015-06-10_11.58.51.227000
30	0	neu_l_62.wav	neg_r_32.wav	0	0	0	2015-06-10_11.58.51.227000
30	0	l_lup_15.wav	neu_r_48.wav	0	0	0	2015-06-10_11.58.51.227000
30	0	neu_l_29.wav	pos_r_47.wav	0	1	1	2015-06-10_11.58.51.227000
30	0	neu_l_69.wav	neu_r_49.wav	0	0	0	2015-06-10_11.58.51.227000
30	0	neu_l_4.wav	r_tol_15.wav	1	1	1	2015-06-10_11.58.51.227000
30	1	neu_l_60.wav	pos_r_28.wav	0	0	0	2015-06-10_11.58.51.227000
30	0	l_lup_16.wav	neu_r_33.wav	0	0	0	2015-06-10_11.58.51.227000
30	0	l_lup_10.wav	neu_r_67.wav	0	0	0	2015-06-10_11.58.51.227000
30	0	neu_l_74.wav	r_tol_13.wav	1	-1	1	2015-06-10_11.58.51.227000
30	1	neu_l_53.wav	neg_r_25.wav	0	0	0	2015-06-10_11.58.51.227000
30	0	l_lup_19.wav	neu_r_44.wav	0	0	0	2015-06-10_11.58.51.227000
30	0	l_lup_14.wav	neu_r_73.wav	0	0	0	2015-06-10_11.58.51.227000
30	0	neu_l_78.wav	neg_r_24.wav	0	-1	1	2015-06-10_11.58.51.227000
30	0	neu_l_45.wav	neu_r_14.wav	0	0	0	2015-06-10_11.58.51.227000
30	0	neu_l_34.wav	neg_r_47.wav	0	-1	1	2015-06-10_11.58.51.227000
30	0	neu_l_54.wav	neu_r_5.wav	0	0	0	2015-06-10_11.58.51.227000
30	0	neu_l_12.wav	pos_r_33.wav	0	1	1	2015-06-10_11.58.51.227000
30	0	neu_l_76.wav	neu_r_52.wav	0	0	0	2015-06-10_11.58.51.227000
30	0	neu_l_29.wav	r_tol_5.wav	1	-1	1	2015-06-10_11.58.51.227000
30	1	neu_l_60.wav	neg_r_45.wav	0	0	0	2015-06-10_11.58.51.227000
30	0	neu_l_78.wav	r_tol_13.wav	1	-1	1	2015-06-10_11.58.51.227000
30	1	neu_l_69.wav	neg_r_78.wav	0	0	0	2015-06-10_11.58.51.227000
30	0	neu_l_78.wav	r_tol_18.wav	1	1	1	2015-06-10_11.58.51.227000
30	1	neu_l_16.wav	pos_r_22.wav	0	0	0	2015-06-10_11.58.51.227000
