US	CS	Time	PCName	timeStamp
n46.wav	16b.png	153	methexp32	2017-10-19_11.26.14.957000
n45.wav	39b.png	250	methexp32	2017-10-19_11.26.14.957000
n25.wav	16b.png	153	methexp32	2017-10-19_11.26.14.957000
n31.wav	16b.png	153	methexp32	2017-10-19_11.26.14.957000
neu5.wav	29.png	158	methexp32	2017-10-19_11.26.14.957000
neu2.wav	50.png	170	methexp32	2017-10-19_11.26.14.957000
p53.wav	68b.png	250	methexp32	2017-10-19_11.26.14.957000
neu10.wav	50.png	170	methexp32	2017-10-19_11.26.14.957000
p23.wav	43.png	153	methexp32	2017-10-19_11.26.14.957000
neu8.wav	50.png	170	methexp32	2017-10-19_11.26.14.957000
neu2.wav	29.png	158	methexp32	2017-10-19_11.26.14.957000
p45.wav	81b.png	250	methexp32	2017-10-19_11.26.14.957000
n11.wav	16b.png	153	methexp32	2017-10-19_11.26.14.957000
neu3.wav	50.png	170	methexp32	2017-10-19_11.26.14.957000
n45.wav	20b.png	250	methexp32	2017-10-19_11.26.14.957000
n11.wav	20b.png	250	methexp32	2017-10-19_11.26.14.957000
n31.wav	70b.png	153	methexp32	2017-10-19_11.26.14.957000
n31.wav	20b.png	250	methexp32	2017-10-19_11.26.14.957000
p89.wav	43.png	153	methexp32	2017-10-19_11.26.14.957000
p36.wav	43.png	153	methexp32	2017-10-19_11.26.14.957000
neu8.wav	29.png	158	methexp32	2017-10-19_11.26.14.957000
p21.wav	98b.png	153	methexp32	2017-10-19_11.26.14.957000
p36.wav	98b.png	153	methexp32	2017-10-19_11.26.14.957000
n14.wav	20b.png	250	methexp32	2017-10-19_11.26.14.957000
p45.wav	43.png	153	methexp32	2017-10-19_11.26.14.957000
p91.wav	98b.png	153	methexp32	2017-10-19_11.26.14.957000
neu7.wav	50.png	170	methexp32	2017-10-19_11.26.14.957000
p23.wav	98b.png	153	methexp32	2017-10-19_11.26.14.957000
n11.wav	70b.png	153	methexp32	2017-10-19_11.26.14.957000
neu4.wav	29.png	158	methexp32	2017-10-19_11.26.14.957000
p22.wav	81b.png	250	methexp32	2017-10-19_11.26.14.957000
p91.wav	81b.png	250	methexp32	2017-10-19_11.26.14.957000
p45.wav	98b.png	153	methexp32	2017-10-19_11.26.14.957000
n46.wav	20b.png	250	methexp32	2017-10-19_11.26.14.957000
p23.wav	68b.png	250	methexp32	2017-10-19_11.26.14.957000
n40.wav	16b.png	153	methexp32	2017-10-19_11.26.14.957000
neu6.wav	50.png	170	methexp32	2017-10-19_11.26.14.957000
n13.wav	39b.png	250	methexp32	2017-10-19_11.26.14.957000
neu1.wav	50.png	170	methexp32	2017-10-19_11.26.14.957000
n45.wav	70b.png	153	methexp32	2017-10-19_11.26.14.957000
n46.wav	70b.png	153	methexp32	2017-10-19_11.26.14.957000
p52.wav	43.png	153	methexp32	2017-10-19_11.26.14.957000
p52.wav	68b.png	250	methexp32	2017-10-19_11.26.14.957000
p89.wav	98b.png	153	methexp32	2017-10-19_11.26.14.957000
n14.wav	16b.png	153	methexp32	2017-10-19_11.26.14.957000
n30.wav	20b.png	250	methexp32	2017-10-19_11.26.14.957000
n25.wav	20b.png	250	methexp32	2017-10-19_11.26.14.957000
p36.wav	68b.png	250	methexp32	2017-10-19_11.26.14.957000
neu7.wav	29.png	158	methexp32	2017-10-19_11.26.14.957000
p23.wav	81b.png	250	methexp32	2017-10-19_11.26.14.957000
n50.wav	20b.png	250	methexp32	2017-10-19_11.26.14.957000
p52.wav	81b.png	250	methexp32	2017-10-19_11.26.14.957000
