subjnr;blocknr;trialnr;adaptation_target;us_valence;cs_filename;premask_filename;postmask_filename;us_filename;cs_duration;direction_pretrial; direction; reversals; stepsize; pas_rating
13;1;1;pas_5;neutral;T   E   L   G;maske_1.bmp;maske_2.bmp;Alcohol 3.jpg;0.12;0;1;0;0.004;1
13;1;2;pas_5;neutral;N   E   H   Z;maske_1.bmp;maske_2.bmp;Drink 2.jpg;0.124;1;1;0;0.004;1
13;1;3;pas_2;neutral;Z   U   H   L;maske_1.bmp;maske_2.bmp;Skyscraper 1.jpg;0.07;0;1;0;0.004;1
13;1;4;pas_2;neutral;G   E   M   T;maske_1.bmp;maske_2.bmp;Roofing 4.jpg;0.074;1;1;0;0.004;1
13;1;5;pas_2;neutral;K   U   L   G;maske_2.bmp;maske_1.bmp;Keyboard 2.jpg;0.078;1;1;0;0.004;1
13;1;6;pas_2;neutral;G   U   H   M;maske_1.bmp;maske_2.bmp;Roofing 1.jpg;0.082;1;1;0;0.004;1
13;1;7;pas_5;neutral;K   N   E   G;maske_1.bmp;maske_2.bmp;Barrels 1.jpg;0.128;1;1;0;0.004;4
13;1;8;pas_5;neutral;T   U   L   M;maske_1.bmp;maske_2.bmp;Office supplies 4.jpg;0.132;1;1;0;0.004;5
13;1;9;pas_2;neutral;K   U   L   G;maske_1.bmp;maske_2.bmp;Rocks 2.jpg;0.086;1;1;0;0.004;1
13;1;10;pas_5;neutral;T   U   L   M;maske_2.bmp;maske_1.bmp;Neutral face 1.jpg;0.132;1;1;0;0.004;4
13;1;11;pas_5;neutral;N   E   H   Z;maske_2.bmp;maske_1.bmp;Crow 2.jpg;0.136;1;-1;1;0.004;6
13;1;12;pas_5;neutral;T   E   L   G;maske_2.bmp;maske_1.bmp;Destruction 9.jpg;0.132;-1;-1;1;0.004;6
13;1;13;pas_5;neutral;K   N   E   G;maske_2.bmp;maske_1.bmp;Pinecone 2.jpg;0.128;-1;-1;1;0.004;5
13;1;14;pas_2;neutral;Z   U   H   L;maske_2.bmp;maske_1.bmp;Cups 2.jpg;0.09;1;1;0;0.004;3
13;1;15;pas_2;neutral;G   U   H   M;maske_2.bmp;maske_1.bmp;Neutral pose 3.jpg;0.09;1;1;0;0.004;3
13;1;16;pas_2;neutral;G   E   M   T;maske_2.bmp;maske_1.bmp;Cups 4.jpg;0.09;1;1;0;0.004;3
13;2;1;pas_5;neutral;T   U   L   M;maske_2.bmp;maske_1.bmp;Rocks 3.jpg;0.128;-1;-1;1;0.004;5
13;2;2;pas_2;neutral;G   U   H   M;maske_2.bmp;maske_1.bmp;Paper 5.jpg;0.09;1;-1;1;0.004;4
13;2;3;pas_5;neutral;K   N   E   G;maske_1.bmp;maske_2.bmp;Fire hydrant 4.jpg;0.128;-1;-1;1;0.004;5
13;2;4;pas_2;neutral;Z   U   H   L;maske_2.bmp;maske_1.bmp;Bored pose 1.jpg;0.086;-1;1;2;0.001;2
13;2;5;pas_2;neutral;K   U   L   G;maske_2.bmp;maske_1.bmp;Roofing 2.jpg;0.087;1;1;2;0.001;3
13;2;6;pas_2;neutral;G   E   M   T;maske_1.bmp;maske_2.bmp;Keys 1.jpg;0.087;1;-1;3;0.001;4
13;2;7;pas_5;neutral;N   E   H   Z;maske_2.bmp;maske_1.bmp;Fire hydrant 1.jpg;0.128;-1;-1;1;0.004;5
13;2;8;pas_5;neutral;T   E   L   G;maske_2.bmp;maske_1.bmp;Neutral face 4.jpg;0.128;-1;1;2;0.001;3
13;2;9;pas_2;neutral;G   E   M   T;maske_2.bmp;maske_1.bmp;Fence 1.jpg;0.086;-1;-1;3;0.001;3
13;2;10;pas_2;neutral;K   U   L   G;maske_1.bmp;maske_2.bmp;Keyboard 3.jpg;0.086;-1;-1;3;0.001;3
13;2;11;pas_5;neutral;K   N   E   G;maske_2.bmp;maske_1.bmp;Car 2.jpg;0.129;1;1;2;0.001;5
13;2;12;pas_5;neutral;T   U   L   M;maske_1.bmp;maske_2.bmp;Bed 1.jpg;0.129;1;-1;3;0.001;6
13;2;13;pas_2;neutral;G   U   H   M;maske_1.bmp;maske_2.bmp;Bark 2.jpg;0.086;-1;-1;3;0.001;3
13;2;14;pas_5;neutral;N   E   H   Z;maske_1.bmp;maske_2.bmp;Prison 1.jpg;0.128;-1;-1;3;0.001;5
13;2;15;pas_2;neutral;Z   U   H   L;maske_1.bmp;maske_2.bmp;Fence 5.jpg;0.086;-1;-1;3;0.001;4
13;2;16;pas_5;neutral;T   E   L   G;maske_1.bmp;maske_2.bmp;Office supplies 3.jpg;0.128;-1;-1;3;0.001;6
13;3;1;pas_2;neutral;G   E   M   T;maske_1.bmp;maske_2.bmp;Bark 2.jpg;0.085;-1;-1;3;0.001;3
13;3;2;pas_2;neutral;K   U   L   G;maske_1.bmp;maske_2.bmp;Roofing 4.jpg;0.085;-1;-1;3;0.001;3
13;3;3;pas_5;neutral;N   E   H   Z;maske_2.bmp;maske_1.bmp;Fence 3.jpg;0.127;-1;-1;3;0.001;5
13;3;4;pas_2;neutral;G   U   H   M;maske_2.bmp;maske_1.bmp;Dirt 3.jpg;0.085;-1;-1;3;0.001;4
13;3;5;pas_5;neutral;K   N   E   G;maske_2.bmp;maske_1.bmp;Alcohol 3.jpg;0.127;-1;-1;3;0.001;5
13;3;6;pas_2;neutral;Z   U   H   L;maske_2.bmp;maske_1.bmp;Pinecone 2.jpg;0.084;-1;-1;3;0.001;3
13;3;7;pas_5;neutral;T   U   L   M;maske_1.bmp;maske_2.bmp;Cardboard 2.jpg;0.127;-1;-1;3;0.001;5
13;3;8;pas_5;neutral;T   E   L   G;maske_1.bmp;maske_2.bmp;Dirt 3.jpg;0.127;-1;-1;3;0.001;6
13;3;9;pas_2;neutral;G   U   H   M;maske_1.bmp;maske_2.bmp;Bark 5.jpg;0.084;-1;1;4;0.001;2
13;3;10;pas_2;neutral;K   U   L   G;m
