subject_nr,color_counter,target_color,target_role,target_1,target_2,target_3,target_4,eval_rating, trial_nr,time_rate_form,time_rate_delay
43,ES_purple,green,starting_melody,IAT_green3.bmp,IAT_green2.bmp,IAT_green1.bmp,IAT_green4.bmp,4,0,3844318,3854955
43,ES_purple,yellow,ending_melody,IAT_yellow1.bmp,IAT_yellow3.bmp,IAT_yellow4.bmp,IAT_yellow2.bmp,3,1,3857226,3863325
43,ES_purple,purple,ending_scream,IAT_purple1.bmp,IAT_purple2.bmp,IAT_purple4.bmp,IAT_purple3.bmp,1,2,3865596,3868601
43,ES_purple,red,starting_scream,IAT_red2.bmp,IAT_red4.bmp,IAT_red1.bmp,IAT_red3.bmp,6,3,3870874,3872539
