phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,eval_rating
c2ratings,480,eval_first,c2,10.png,extinction,neutral,2
c2ratings,480,eval_first,c2,20.png,extinction,negative,5
c2ratings,480,eval_first,c2,24.png,negative,extinction,12
c2ratings,480,eval_first,c2,18.png,extinction,positive,16
c2ratings,480,eval_first,c2,9.png,extinction,positive,18
c2ratings,480,eval_first,c2,21.png,extinction,negative,1
c2ratings,480,eval_first,c2,5.png,positive,extinction,18
c2ratings,480,eval_first,c2,11.png,neutral,extinction,3
c2ratings,480,eval_first,c2,23.png,extinction,neutral,7
c2ratings,480,eval_first,c2,12.png,neutral,extinction,10
c2ratings,480,eval_first,c2,14.png,extinction,negative,1
c2ratings,480,eval_first,c2,3.png,positive,extinction,15
c2ratings,480,eval_first,c2,8.png,neutral,extinction,10
c2ratings,480,eval_first,c2,7.png,negative,extinction,9
c2ratings,480,eval_first,c2,4.png,extinction,positive,16
c2ratings,480,eval_first,c2,26.png,positive,extinction,16
c2ratings,480,eval_first,c2,17.png,extinction,neutral,18
c2ratings,480,eval_first,c2,1.png,negative,extinction,4
