phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,eval_rating
c2ratings,576,eval_first,c2,4.png,extinction,negative,9
c2ratings,576,eval_first,c2,12.png,negative,extinction,18
c2ratings,576,eval_first,c2,11.png,extinction,positive,16
c2ratings,576,eval_first,c2,7.png,neutral,extinction,18
c2ratings,576,eval_first,c2,8.png,extinction,neutral,18
c2ratings,576,eval_first,c2,3.png,positive,extinction,14
c2ratings,576,eval_first,c2,10.png,negative,extinction,12
c2ratings,576,eval_first,c2,1.png,neutral,extinction,12
c2ratings,576,eval_first,c2,24.png,positive,extinction,18
c2ratings,576,eval_first,c2,5.png,neutral,extinction,18
c2ratings,576,eval_first,c2,20.png,extinction,positive,12
c2ratings,576,eval_first,c2,23.png,extinction,negative,18
c2ratings,576,eval_first,c2,14.png,extinction,negative,9
c2ratings,576,eval_first,c2,18.png,positive,extinction,2
c2ratings,576,eval_first,c2,9.png,extinction,neutral,9
c2ratings,576,eval_first,c2,26.png,extinction,neutral,12
c2ratings,576,eval_first,c2,21.png,negative,extinction,9
c2ratings,576,eval_first,c2,17.png,extinction,positive,5
