phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,eval_rating
c2ratings,417,expect_first,c2,26.png,positive,extinction,14
c2ratings,417,expect_first,c2,5.png,positive,extinction,18
c2ratings,417,expect_first,c2,3.png,extinction,positive,13
c2ratings,417,expect_first,c2,7.png,negative,extinction,18
c2ratings,417,expect_first,c2,21.png,extinction,positive,11
c2ratings,417,expect_first,c2,9.png,neutral,extinction,10
c2ratings,417,expect_first,c2,8.png,positive,extinction,0
c2ratings,417,expect_first,c2,14.png,extinction,neutral,3
c2ratings,417,expect_first,c2,1.png,neutral,extinction,11
c2ratings,417,expect_first,c2,17.png,negative,extinction,3
c2ratings,417,expect_first,c2,24.png,extinction,neutral,15
c2ratings,417,expect_first,c2,18.png,extinction,positive,18
c2ratings,417,expect_first,c2,23.png,extinction,negative,18
c2ratings,417,expect_first,c2,4.png,negative,extinction,11
c2ratings,417,expect_first,c2,12.png,extinction,neutral,18
c2ratings,417,expect_first,c2,11.png,extinction,negative,18
c2ratings,417,expect_first,c2,10.png,neutral,extinction,15
c2ratings,417,expect_first,c2,20.png,extinction,negative,18
