ParticipantNumber	SpaceYesNo	IsTarget	LeftOrder	RightOrder	timeStamp
2	0	0	neu_l_39.wav	neu_r_1.wav	2015-03-04_11.08.49.598000
2	0	1	neu_l_28.wav	r_tol_8.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_9.wav	pos_r_30.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_11.wav	r_lup_11.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_27.wav	pos_r_27.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_28.wav	r_nif_10.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_4.wav	neg_r_16.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_56.wav	neu_r_75.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_7.wav	neu_r_24.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_9.wav	neg_r_17.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_6.wav	neu_r_18.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_3.wav	neu_r_5.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_17.wav	neu_r_22.wav	2015-03-04_11.08.49.598000
2	1	1	l_tol_19.wav	neg_r_20.wav	2015-03-04_11.08.49.598000
2	1	0	l_nif_7.wav	neu_r_18.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_68.wav	neu_r_35.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_20.wav	neg_r_73.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_16.wav	r_nif_10.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_39.wav	pos_r_47.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_79.wav	neu_r_50.wav	2015-03-04_11.08.49.598000
2	0	1	neu_l_20.wav	r_tol_3.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_20.wav	neg_r_76.wav	2015-03-04_11.08.49.598000
2	1	0	neu_l_80.wav	neu_r_65.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_55.wav	pos_r_38.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_13.wav	neu_r_1.wav	2015-03-04_11.08.49.598000
2	1	0	l_lup_10.wav	neu_r_6.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_12.wav	neg_r_39.wav	2015-03-04_11.08.49.598000
2	1	0	l_nif_15.wav	neu_r_1.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_56.wav	neu_r_73.wav	2015-03-04_11.08.49.598000
2	1	0	l_lup_20.wav	neu_r_8.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_18.wav	pos_r_46.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_8.wav	neu_r_23.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_67.wav	neu_r_54.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_10.wav	neu_r_44.wav	2015-03-04_11.08.49.598000
2	1	1	l_tol_12.wav	neg_r_37.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_15.wav	neu_r_61.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_48.wav	neu_r_1.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_27.wav	neg_r_30.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_55.wav	r_lup_1.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_2.wav	neu_r_44.wav	2015-03-04_11.08.49.598000
2	1	1	l_tol_16.wav	pos_r_29.wav	2015-03-04_11.08.49.598000
2	1	0	l_nif_20.wav	neu_r_61.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_46.wav	neu_r_26.wav	2015-03-04_11.08.49.598000
2	0	1	neu_l_10.wav	r_tol_1.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_32.wav	neg_r_17.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_47.wav	r_nif_1.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_11.wav	pos_r_57.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_69.wav	r_lup_11.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_17.wav	neu_r_7.wav	2015-03-04_11.08.49.598000
2	1	1	l_tol_19.wav	neg_r_25.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_7.wav	neu_r_64.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_69.wav	neu_r_18.wav	2015-03-04_11.08.49.598000
2	1	0	l_lup_9.wav	neu_r_53.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_4.wav	pos_r_71.wav	2015-03-04_11.08.49.598000
2	1	0	l_nif_19.wav	neu_r_2.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_54.wav	neu_r_25.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_17.wav	neu_r_73.wav	2015-03-04_11.08.49.598000
2	1	1	l_tol_19.wav	neg_r_65.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_7.wav	neu_r_73.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_80.wav	neu_r_22.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_40.wav	pos_r_29.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_19.wav	r_nif_3.wav	2015-03-04_11.08.49.598000
2	1	0	l_lup_7.wav	neu_r_36.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_9.wav	neg_r_78.wav	2015-03-04_11.08.49.598000
2	1	0	l_nif_6.wav	neu_r_38.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_68.wav	neu_r_58.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_8.wav	neu_r_61.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_15.wav	pos_r_32.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_2.wav	neu_r_36.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_41.wav	neu_r_59.wav	2015-03-04_11.08.49.598000
2	1	0	l_lup_9.wav	neu_r_76.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_4.wav	pos_r_78.wav	2015-03-04_11.08.49.598000
2	1	0	l_nif_19.wav	neu_r_74.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_34.wav	neu_r_21.wav	2015-03-04_11.08.49.598000
2	1	0	neu_l_28.wav	neg_r_56.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_16.wav	r_nif_9.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_16.wav	neu_r_22.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_2.wav	neg_r_43.wav	2015-03-04_11.08.49.598000
2	1	0	l_nif_13.wav	neu_r_43.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_29.wav	neu_r_52.wav	2015-03-04_11.08.49.598000
2	1	0	l_lup_16.wav	neu_r_74.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_2.wav	neg_r_51.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_13.wav	neu_r_50.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_33.wav	neu_r_2.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_9.wav	neu_r_74.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_4.wav	pos_r_16.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_19.wav	neu_r_57.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_68.wav	neu_r_54.wav	2015-03-04_11.08.49.598000
2	1	0	l_lup_7.wav	neu_r_52.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_9.wav	neg_r_77.wav	2015-03-04_11.08.49.598000
2	1	0	l_nif_6.wav	neu_r_17.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_20.wav	neu_r_21.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_10.wav	neu_r_76.wav	2015-03-04_11.08.49.598000
2	1	1	l_tol_12.wav	neg_r_24.wav	2015-03-04_11.08.49.598000
2	1	0	l_nif_15.wav	neu_r_17.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_34.wav	neu_r_23.wav	2015-03-04_11.08.49.598000
2	0	1	neu_l_68.wav	r_tol_11.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_10.wav	pos_r_54.wav	2015-03-04_11.08.49.598000
