block_nr,count__expectancy,count_ec_block_loop,count_ec_blocks_loop,count_expectancy,expectancy,order,response__expectancy,response_expectancy,response_time__expectancy,response_time_expectancy,stim1,stim2,subject_nr,time_ec_block_loop,time_expectancy,usval
"1","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","17.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","25.png","13.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","16.png","27.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","5780.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","21.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","1.png","3300.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","18.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","24.png","3181.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","23.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","5970.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","14.png","7090.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","12.png","7080.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","3.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","8.png","1620.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","5970.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","11.png","7175.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","5780.JPG","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","16.png","27.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","18.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","12.png","7080.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","1.png","3300.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","15.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","26.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","21.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","17.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","21.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","4.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","6.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","2.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","18.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","25.png","13.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","1.png","3300.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","11.png","7175.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","22.png","19.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","5250.JPG","5720.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","4.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","9000.JPG","5660.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","17.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","20.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","22.png","19.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","2.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","14.png","7090.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","12.png","7080.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","16.png","27.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","17.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","9280.JPG","5870.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","26.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","9280.JPG","5870.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","22.png","19.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","10.png","1604.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","5611.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","3.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","6.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","24.png","3181.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","5970.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","18.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","25.png","13.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","3.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","23.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","21.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","8.png","1620.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","9.png","2100.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","15.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","5611.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","9000.JPG","5660.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","5780.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","24.png","3181.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","10.png","1604.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","8.png","1620.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","23.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","7.png","1440.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","5250.JPG","5720.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","11.png","7175.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","9280.JPG","5870.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","9000.JPG","5660.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","14.png","7090.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","5.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","1.png","3300.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","5.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","5250.JPG","5720.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","14.png","7090.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","9.png","2100.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","6.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","3.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","20.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","10.png","1604.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","5.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","26.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","2.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","4.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","7.png","1440.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","15.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","7.png","1440.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","9.png","2100.JPG","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","20.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","5611.JPG","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","empty.png","264","NA","NA","NA"
"2","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","7.png","1440.JPG","264","NA","NA","NA"
"3","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","6.png","empty.png","264","NA","NA","NA"
"3","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","10.png","1604.JPG","264","NA","NA","NA"
"3","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","17.png","empty.png","264","NA","NA","NA"
"3","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","empty.png","264","NA","NA","NA"
"3","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","3.png","empty.png","264","NA","NA","NA"
"3","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","26.png","empty.png","264","NA","NA","NA"
"3","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","14.png","7090.JPG","264","NA","NA","NA"
"3","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","12.png","7080.JPG","264","NA","NA","NA"
"3","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","11.png","7175.JPG","264","NA","NA","NA"
"3","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","26.png","empty.png","264","NA","NA","NA"
"3","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","21.png","empty.png","264","NA","NA","NA"
"3","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","empty.png","264","NA","NA","NA"
"3","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","15.png","empty.png","264","NA","NA","NA"
"3","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","empty.png","264","NA","NA","NA"
"3","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","9280.JPG","5870.JPG","264","NA","NA","NA"
"3","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","17.png","empty.png","264","NA","NA","NA"
"3","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","9.png","2100.JPG","264","NA","NA","NA"
"3","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","26.png","empty.png","264","NA","NA","NA"
"3","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","5250.JPG","5720.JPG","264","NA","NA","NA"
"3","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","10.png","1604.JPG","264","NA","NA","NA"
"3","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","25.png","13.png","264","NA","NA","NA"
"3","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","9280.JPG","5870.JPG","264","NA","NA","NA"
"3","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","9.png","2100.JPG","264","NA","NA","NA"
"3","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","5780.JPG","264","NA","NA","NA"
"3","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","empty.png","264","NA","NA","NA"
