ParticipantNumber	SpaceYesNo	IsTarget	LeftOrder	RightOrder	timeStamp
11	0	0	l_lup_13.wav	neu_r_76.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_73.wav	neu_r_16.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_73.wav	pos_r_17.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_14.wav	neu_r_35.wav	2015-03-09_10.17.00.265000
11	0	1	neu_l_44.wav	r_tol_11.wav	2015-03-09_10.17.00.265000
11	1	0	neu_l_64.wav	neg_r_19.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_41.wav	neu_r_79.wav	2015-03-09_10.17.00.265000
11	0	1	neu_l_64.wav	r_tol_7.wav	2015-03-09_10.17.00.265000
11	1	0	neu_l_48.wav	neg_r_61.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_40.wav	r_lup_3.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_17.wav	pos_r_45.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_28.wav	r_lup_8.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_43.wav	pos_r_20.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_62.wav	r_nif_8.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_4.wav	neu_r_23.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_1.wav	pos_r_23.wav	2015-03-09_10.17.00.265000
11	0	0	l_lup_2.wav	neu_r_9.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_74.wav	neu_r_22.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_25.wav	neg_r_28.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_2.wav	neu_r_21.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_11.wav	neu_r_50.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_3.wav	pos_r_58.wav	2015-03-09_10.17.00.265000
11	0	0	l_lup_12.wav	neu_r_75.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_28.wav	neu_r_26.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_14.wav	neu_r_70.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_17.wav	neg_r_57.wav	2015-03-09_10.17.00.265000
11	0	0	l_lup_19.wav	neu_r_11.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_3.wav	neu_r_36.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_12.wav	neu_r_75.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_6.wav	pos_r_57.wav	2015-03-09_10.17.00.265000
11	0	0	l_lup_5.wav	neu_r_5.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_42.wav	neu_r_54.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_13.wav	neu_r_37.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_16.wav	neg_r_68.wav	2015-03-09_10.17.00.265000
11	0	0	l_lup_10.wav	neu_r_16.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_71.wav	neu_r_50.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_18.wav	neg_r_11.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_8.wav	r_nif_17.wav	2015-03-09_10.17.00.265000
11	0	1	neu_l_17.wav	r_tol_9.wav	2015-03-09_10.17.00.265000
11	1	0	neu_l_13.wav	neg_r_56.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_2.wav	r_lup_14.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_7.wav	neu_r_30.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_8.wav	pos_r_9.wav	2015-03-09_10.17.00.265000
11	0	0	l_lup_9.wav	neu_r_66.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_18.wav	neu_r_23.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_47.wav	pos_r_65.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_57.wav	neu_r_6.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_34.wav	neg_r_80.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_8.wav	neu_r_75.wav	2015-03-09_10.17.00.265000
11	0	1	neu_l_72.wav	r_tol_7.wav	2015-03-09_10.17.00.265000
11	1	0	neu_l_47.wav	neg_r_1.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_4.wav	r_nif_8.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_4.wav	neg_r_25.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_44.wav	r_nif_18.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_20.wav	neu_r_53.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_13.wav	neg_r_35.wav	2015-03-09_10.17.00.265000
11	1	0	l_lup_7.wav	neu_r_32.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_27.wav	neu_r_21.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_37.wav	pos_r_14.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_8.wav	r_lup_3.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_68.wav	neg_r_16.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_62.wav	neu_r_60.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_19.wav	neu_r_69.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_4.wav	neg_r_37.wav	2015-03-09_10.17.00.265000
11	0	0	l_lup_13.wav	neu_r_79.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_61.wav	neu_r_38.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_13.wav	neu_r_77.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_16.wav	neg_r_44.wav	2015-03-09_10.17.00.265000
11	1	0	l_lup_10.wav	neu_r_32.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_18.wav	neu_r_16.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_12.wav	neu_r_12.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_6.wav	pos_r_67.wav	2015-03-09_10.17.00.265000
11	0	0	l_lup_5.wav	neu_r_16.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_67.wav	neu_r_79.wav	2015-03-09_10.17.00.265000
11	0	1	neu_l_57.wav	r_tol_9.wav	2015-03-09_10.17.00.265000
11	1	0	neu_l_45.wav	neg_r_15.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_3.wav	r_nif_3.wav	2015-03-09_10.17.00.265000
11	0	1	neu_l_48.wav	r_tol_9.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_46.wav	neg_r_75.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_46.wav	neu_r_55.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_1.wav	neu_r_70.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_12.wav	neg_r_3.wav	2015-03-09_10.17.00.265000
11	1	0	l_lup_16.wav	neu_r_36.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_74.wav	neu_r_59.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_13.wav	neu_r_78.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_16.wav	neg_r_20.wav	2015-03-09_10.17.00.265000
11	1	0	l_lup_10.wav	neu_r_31.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_68.wav	neu_r_29.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_20.wav	neu_r_22.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_13.wav	neg_r_72.wav	2015-03-09_10.17.00.265000
11	1	0	l_lup_7.wav	neu_r_65.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_71.wav	neu_r_79.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_67.wav	neg_r_64.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_13.wav	r_lup_1.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_11.wav	neu_r_78.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_3.wav	pos_r_51.wav	2015-03-09_10.17.00.265000
11	1	0	l_lup_12.wav	neu_r_60.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_3.wav	neu_r_21.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_4.wav	neu_r_16.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_1.wav	pos_r_30.wav	2015-03-09_10.17.00.265000
11	1	0	l_lup_2.wav	neu_r_69.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_8.wav	neu_r_76.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_12.wav	neu_r_53.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_6.wav	pos_r_44.wav	2015-03-09_10.17.00.265000
11	1	0	l_lup_5.wav	neu_r_6.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_24.wav	neu_r_12.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_11.wav	neu_r_36.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_3.wav	pos_r_15.wav	2015-03-09_10.17.00.265000
11	0	0	l_lup_12.wav	neu_r_22.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_51.wav	neu_r_29.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_7.wav	neg_r_57.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_51.wav	neu_r_37.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_61.wav	pos_r_49.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_14.wav	neu_r_31.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_51.wav	neg_r_46.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_2.wav	r_nif_6.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_17.wav	pos_r_37.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_1.wav	r_lup_18.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_73.wav	neg_r_43.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_1.wav	r_nif_16.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_7.wav	neu_r_80.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_8.wav	pos_r_49.wav	2015-03-09_10.17.00.265000
11	0	0	l_lup_9.wav	neu_r_59.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_33.wav	neu_r_50.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_12.wav	neu_r_70.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_6.wav	pos_r_65.wav	2015-03-09_10.17.00.265000
11	0	0	l_lup_5.wav	neu_r_10.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_43.wav	neu_r_80.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_48.wav	neg_r_74.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_51.wav	neu_r_26.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_13.wav	neu_r_30.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_16.wav	neg_r_69.wav	2015-03-09_10.17.00.265000
11	0	0	l_lup_10.wav	neu_r_30.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_40.wav	neu_r_55.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_2.wav	pos_r_11.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_27.wav	r_lup_15.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_11.wav	neu_r_50.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_3.wav	pos_r_26.wav	2015-03-09_10.17.00.265000
11	1	0	l_lup_12.wav	neu_r_65.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_18.wav	neu_r_24.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_19.wav	neu_r_9.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_4.wav	neg_r_53.wav	2015-03-09_10.17.00.265000
11	0	0	l_lup_13.wav	neu_r_49.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_57.wav	neu_r_25.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_14.wav	neu_r_32.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_17.wav	neg_r_78.wav	2015-03-09_10.17.00.265000
11	0	0	l_lup_19.wav	neu_r_10.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_27.wav	neu_r_77.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_12.wav	neu_r_66.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_6.wav	pos_r_16.wav	2015-03-09_10.17.00.265000
11	0	0	l_lup_5.wav	neu_r_12.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_13.wav	neu_r_78.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_13.wav	neu_r_60.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_16.wav	neg_r_4.wav	2015-03-09_10.17.00.265000
11	0	0	l_lup_10.wav	neu_r_11.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_46.wav	neu_r_69.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_2.wav	neu_r_15.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_10.wav	pos_r_60.wav	2015-03-09_10.17.00.265000
11	1	0	l_lup_20.wav	neu_r_30.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_40.wav	neu_r_24.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_14.wav	neu_r_55.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_17.wav	neg_r_11.wav	2015-03-09_10.17.00.265000
11	1	0	l_lup_19.wav	neu_r_56.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_4.wav	neu_r_32.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_19.wav	neg_r_2.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_63.wav	r_nif_5.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_19.wav	neu_r_65.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_4.wav	neg_r_43.wav	2015-03-09_10.17.00.265000
11	0	0	l_lup_13.wav	neu_r_54.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_51.wav	neu_r_54.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_20.wav	neu_r_66.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_13.wav	neg_r_13.wav	2015-03-09_10.17.00.265000
11	1	0	l_lup_7.wav	neu_r_70.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_46.wav	neu_r_49.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_2.wav	neu_r_35.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_10.wav	pos_r_69.wav	2015-03-09_10.17.00.265000
11	1	0	l_lup_20.wav	neu_r_37.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_41.wav	neu_r_55.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_13.wav	neu_r_38.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_16.wav	neg_r_23.wav	2015-03-09_10.17.00.265000
11	1	0	l_lup_10.wav	neu_r_29.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_72.wav	neu_r_37.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_63.wav	neg_r_76.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_4.wav	neu_r_11.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_67.wav	pos_r_69.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_27.wav	r_nif_5.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_58.wav	neg_r_10.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_39.wav	neu_r_5.wav	2015-03-09_10.17.00.265000
11	0	1	neu_l_19.wav	r_tol_14.wav	2015-03-09_10.17.00.265000
11	1	0	neu_l_7.wav	pos_r_25.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_40.wav	neu_r_15.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_63.wav	neg_r_62.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_64.wav	neu_r_77.wav	2015-03-09_10.17.00.265000
11	0	1	neu_l_58.wav	r_tol_9.wav	2015-03-09_10.17.00.265000
11	1	0	neu_l_20.wav	neg_r_79.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_41.wav	neu_r_23.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_48.wav	pos_r_35.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_44.wav	neu_r_53.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_12.wav	neu_r_5.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_6.wav	pos_r_6.wav	2015-03-09_10.17.00.265000
11	1	0	l_lup_5.wav	neu_r_21.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_67.wav	neu_r_65.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_4.wav	neu_r_80.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_1.wav	pos_r_10.wav	2015-03-09_10.17.00.265000
11	1	0	l_lup_2.wav	neu_r_26.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_20.wav	neu_r_31.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_20.wav	neu_r_56.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_13.wav	neg_r_27.wav	2015-03-09_10.17.00.265000
11	1	0	l_lup_7.wav	neu_r_10.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_52.wav	neu_r_37.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_41.wav	neg_r_51.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_67.wav	r_nif_18.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_58.wav	pos_r_7.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_34.wav	neu_r_9.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_1.wav	neu_r_25.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_12.wav	neg_r_18.wav	2015-03-09_10.17.00.265000
11	0	0	l_lup_16.wav	neu_r_26.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_7.wav	neu_r_76.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_20.wav	neu_r_76.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_13.wav	neg_r_61.wav	2015-03-09_10.17.00.265000
11	1	0	l_lup_7.wav	neu_r_36.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_57.wav	neu_r_5.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_14.wav	neu_r_78.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_17.wav	neg_r_21.wav	2015-03-09_10.17.00.265000
11	0	0	l_lup_19.wav	neu_r_49.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_41.wav	neu_r_16.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_19.wav	pos_r_16.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_7.wav	neu_r_12.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_12.wav	neu_r_80.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_6.wav	pos_r_2.wav	2015-03-09_10.17.00.265000
11	0	0	l_lup_5.wav	neu_r_11.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_2.wav	neu_r_53.wav	2015-03-09_10.17.00.265000
11	0	1	neu_l_74.wav	r_tol_5.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_34.wav	pos_r_61.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_1.wav	r_lup_17.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_4.wav	neu_r_37.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_1.wav	pos_r_61.wav	2015-03-09_10.17.00.265000
11	1	0	l_lup_2.wav	neu_r_30.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_28.wav	neu_r_6.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_20.wav	neg_r_67.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_42.wav	r_nif_9.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_19.wav	neu_r_22.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_4.wav	neg_r_45.wav	2015-03-09_10.17.00.265000
11	0	0	l_lup_13.wav	neu_r_49.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_57.wav	neu_r_38.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_61.wav	pos_r_6.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_52.wav	r_nif_9.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_11.wav	neu_r_78.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_3.wav	pos_r_73.wav	2015-03-09_10.17.00.265000
11	1	0	l_lup_12.wav	neu_r_70.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_59.wav	neu_r_25.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_7.wav	neu_r_12.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_8.wav	pos_r_39.wav	2015-03-09_10.17.00.265000
11	0	0	l_lup_9.wav	neu_r_65.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_42.wav	neu_r_12.wav	2015-03-09_10.17.00.265000
11	0	0	l_nif_4.wav	neu_r_35.wav	2015-03-09_10.17.00.265000
11	0	1	l_tol_1.wav	pos_r_75.wav	2015-03-09_10.17.00.265000
11	1	0	l_lup_2.wav	neu_r_59.wav	2015-03-09_10.17.00.265000
11	0	0	neu_l_45.wav	neu_r_56.wav	2015-03-09_10.17.00.265000
